
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.05.2019 00:00;01.05.2019 01:00;1,168;Tegelik;
01.05.2019 01:00;01.05.2019 02:00;0,877;Tegelik;
01.05.2019 02:00;01.05.2019 03:00;0,096;Tegelik;
01.05.2019 03:00;01.05.2019 04:00;1,372;Tegelik;
01.05.2019 04:00;01.05.2019 05:00;1,196;Tegelik;
01.05.2019 05:00;01.05.2019 06:00;0,255;Tegelik;
01.05.2019 06:00;01.05.2019 07:00;0,089;Tegelik;
01.05.2019 07:00;01.05.2019 08:00;0,087;Tegelik;
01.05.2019 08:00;01.05.2019 09:00;0,205;Tegelik;
01.05.2019 09:00;01.05.2019 10:00;0,288;Tegelik;
01.05.2019 10:00;01.05.2019 11:00;0,297;Tegelik;
01.05.2019 11:00;01.05.2019 12:00;0,376;Tegelik;
01.05.2019 12:00;01.05.2019 13:00;0,171;Tegelik;
01.05.2019 13:00;01.05.2019 14:00;0,251;Tegelik;
01.05.2019 14:00;01.05.2019 15:00;0,32;Tegelik;
01.05.2019 15:00;01.05.2019 16:00;0,431;Tegelik;
01.05.2019 16:00;01.05.2019 17:00;0,142;Tegelik;
01.05.2019 17:00;01.05.2019 18:00;0,168;Tegelik;
01.05.2019 18:00;01.05.2019 19:00;0,328;Tegelik;
01.05.2019 19:00;01.05.2019 20:00;0,257;Tegelik;
01.05.2019 20:00;01.05.2019 21:00;0,444;Tegelik;
01.05.2019 21:00;01.05.2019 22:00;0,49;Tegelik;
01.05.2019 22:00;01.05.2019 23:00;0,283;Tegelik;
01.05.2019 23:00;02.05.2019 00:00;0,173;Tegelik;
02.05.2019 00:00;02.05.2019 01:00;3,059;Tegelik;
02.05.2019 01:00;02.05.2019 02:00;1,652;Tegelik;
02.05.2019 02:00;02.05.2019 03:00;1,943;Tegelik;
02.05.2019 03:00;02.05.2019 04:00;1,604;Tegelik;
02.05.2019 04:00;02.05.2019 05:00;1,096;Tegelik;
02.05.2019 05:00;02.05.2019 06:00;0,253;Tegelik;
02.05.2019 06:00;02.05.2019 07:00;1,519;Tegelik;
02.05.2019 07:00;02.05.2019 08:00;0,339;Tegelik;
02.05.2019 08:00;02.05.2019 09:00;0,425;Tegelik;
02.05.2019 09:00;02.05.2019 10:00;0,333;Tegelik;
02.05.2019 10:00;02.05.2019 11:00;0,188;Tegelik;
02.05.2019 11:00;02.05.2019 12:00;0,41;Tegelik;
02.05.2019 12:00;02.05.2019 13:00;0,129;Tegelik;
02.05.2019 13:00;02.05.2019 14:00;0,386;Tegelik;
02.05.2019 14:00;02.05.2019 15:00;1,889;Tegelik;
02.05.2019 15:00;02.05.2019 16:00;1,483;Tegelik;
02.05.2019 16:00;02.05.2019 17:00;0,781;Tegelik;
02.05.2019 17:00;02.05.2019 18:00;1,647;Tegelik;
02.05.2019 18:00;02.05.2019 19:00;1,6;Tegelik;
02.05.2019 19:00;02.05.2019 20:00;1,461;Tegelik;
02.05.2019 20:00;02.05.2019 21:00;1,619;Tegelik;
02.05.2019 21:00;02.05.2019 22:00;0,473;Tegelik;
02.05.2019 22:00;02.05.2019 23:00;2,097;Tegelik;
