
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.12.2018 00:00;01.12.2018 01:00;4,059;Tegelik;
01.12.2018 01:00;01.12.2018 02:00;3,711;Tegelik;
01.12.2018 02:00;01.12.2018 03:00;3,361;Tegelik;
01.12.2018 03:00;01.12.2018 04:00;3,457;Tegelik;
01.12.2018 04:00;01.12.2018 05:00;2,719;Tegelik;
01.12.2018 05:00;01.12.2018 06:00;2,446;Tegelik;
01.12.2018 06:00;01.12.2018 07:00;2,628;Tegelik;
01.12.2018 07:00;01.12.2018 08:00;2,888;Tegelik;
01.12.2018 08:00;01.12.2018 09:00;3,262;Tegelik;
01.12.2018 09:00;01.12.2018 10:00;3,042;Tegelik;
01.12.2018 10:00;01.12.2018 11:00;4,235;Tegelik;
01.12.2018 11:00;01.12.2018 12:00;2,891;Tegelik;
01.12.2018 12:00;01.12.2018 13:00;3,015;Tegelik;
01.12.2018 13:00;01.12.2018 14:00;3,142;Tegelik;
01.12.2018 14:00;01.12.2018 15:00;4,052;Tegelik;
01.12.2018 15:00;01.12.2018 16:00;4,173;Tegelik;
01.12.2018 16:00;01.12.2018 17:00;3,411;Tegelik;
01.12.2018 17:00;01.12.2018 18:00;3,528;Tegelik;
01.12.2018 18:00;01.12.2018 19:00;0,105;Tegelik;
01.12.2018 19:00;01.12.2018 20:00;0,598;Tegelik;
01.12.2018 20:00;01.12.2018 21:00;3,415;Tegelik;
01.12.2018 21:00;01.12.2018 22:00;2,962;Tegelik;
01.12.2018 22:00;01.12.2018 23:00;2,423;Tegelik;
01.12.2018 23:00;02.12.2018 00:00;2,588;Tegelik;
02.12.2018 00:00;02.12.2018 01:00;2,85;Tegelik;
02.12.2018 01:00;02.12.2018 02:00;2,3;Tegelik;
02.12.2018 02:00;02.12.2018 03:00;2,471;Tegelik;
02.12.2018 03:00;02.12.2018 04:00;2,657;Tegelik;
02.12.2018 04:00;02.12.2018 05:00;2,392;Tegelik;
02.12.2018 05:00;02.12.2018 06:00;2,772;Tegelik;
02.12.2018 06:00;02.12.2018 07:00;2,634;Tegelik;
02.12.2018 07:00;02.12.2018 08:00;2,388;Tegelik;
02.12.2018 08:00;02.12.2018 09:00;2,398;Tegelik;
02.12.2018 09:00;02.12.2018 10:00;2,393;Tegelik;
02.12.2018 10:00;02.12.2018 11:00;2,744;Tegelik;
02.12.2018 11:00;02.12.2018 12:00;2,706;Tegelik;
02.12.2018 12:00;02.12.2018 13:00;2,573;Tegelik;
02.12.2018 13:00;02.12.2018 14:00;2,665;Tegelik;
02.12.2018 14:00;02.12.2018 15:00;3,313;Tegelik;
02.12.2018 15:00;02.12.2018 16:00;4,972;Tegelik;
02.12.2018 16:00;02.12.2018 17:00;4,028;Tegelik;
02.12.2018 17:00;02.12.2018 18:00;3,475;Tegelik;
02.12.2018 18:00;02.12.2018 19:00;5,822;Tegelik;
02.12.2018 19:00;02.12.2018 20:00;4,706;Tegelik;
02.12.2018 20:00;02.12.2018 21:00;2,733;Tegelik;
02.12.2018 21:00;02.12.2018 22:00;2,576;Tegelik;
02.12.2018 22:00;02.12.2018 23:00;2,59;Tegelik;
