
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.08.2019 00:00;01.08.2019 01:00;0,765;Tegelik;
01.08.2019 01:00;01.08.2019 02:00;1,79;Tegelik;
01.08.2019 02:00;01.08.2019 03:00;1,152;Tegelik;
01.08.2019 03:00;01.08.2019 04:00;0,097;Tegelik;
01.08.2019 04:00;01.08.2019 05:00;0,085;Tegelik;
01.08.2019 05:00;01.08.2019 06:00;0,091;Tegelik;
01.08.2019 06:00;01.08.2019 07:00;0,151;Tegelik;
01.08.2019 07:00;01.08.2019 08:00;0,315;Tegelik;
01.08.2019 08:00;01.08.2019 09:00;0,153;Tegelik;
01.08.2019 09:00;01.08.2019 10:00;0,221;Tegelik;
01.08.2019 10:00;01.08.2019 11:00;0,343;Tegelik;
01.08.2019 11:00;01.08.2019 12:00;1,123;Tegelik;
01.08.2019 12:00;01.08.2019 13:00;0,867;Tegelik;
01.08.2019 13:00;01.08.2019 14:00;0,539;Tegelik;
01.08.2019 14:00;01.08.2019 15:00;0,278;Tegelik;
01.08.2019 15:00;01.08.2019 16:00;0,205;Tegelik;
01.08.2019 16:00;01.08.2019 17:00;0,197;Tegelik;
01.08.2019 17:00;01.08.2019 18:00;0,285;Tegelik;
01.08.2019 18:00;01.08.2019 19:00;0,221;Tegelik;
01.08.2019 19:00;01.08.2019 20:00;0,197;Tegelik;
01.08.2019 20:00;01.08.2019 21:00;0,434;Tegelik;
01.08.2019 21:00;01.08.2019 22:00;0,491;Tegelik;
01.08.2019 22:00;01.08.2019 23:00;0,449;Tegelik;
01.08.2019 23:00;02.08.2019 00:00;0,289;Tegelik;
02.08.2019 00:00;02.08.2019 01:00;0,198;Tegelik;
02.08.2019 01:00;02.08.2019 02:00;0,141;Tegelik;
02.08.2019 02:00;02.08.2019 03:00;0,104;Tegelik;
02.08.2019 03:00;02.08.2019 04:00;0,093;Tegelik;
02.08.2019 04:00;02.08.2019 05:00;0,09;Tegelik;
02.08.2019 05:00;02.08.2019 06:00;0,091;Tegelik;
02.08.2019 06:00;02.08.2019 07:00;0,339;Tegelik;
02.08.2019 07:00;02.08.2019 08:00;2,497;Tegelik;
02.08.2019 08:00;02.08.2019 09:00;1,116;Tegelik;
02.08.2019 09:00;02.08.2019 10:00;0,139;Tegelik;
02.08.2019 10:00;02.08.2019 11:00;0,151;Tegelik;
02.08.2019 11:00;02.08.2019 12:00;0,228;Tegelik;
02.08.2019 12:00;02.08.2019 13:00;0,215;Tegelik;
02.08.2019 13:00;02.08.2019 14:00;0,29;Tegelik;
02.08.2019 14:00;02.08.2019 15:00;0,21;Tegelik;
02.08.2019 15:00;02.08.2019 16:00;0,216;Tegelik;
02.08.2019 16:00;02.08.2019 17:00;0,305;Tegelik;
02.08.2019 17:00;02.08.2019 18:00;0,538;Tegelik;
02.08.2019 18:00;02.08.2019 19:00;0,506;Tegelik;
02.08.2019 19:00;02.08.2019 20:00;0,191;Tegelik;
02.08.2019 20:00;02.08.2019 21:00;0,378;Tegelik;
02.08.2019 21:00;02.08.2019 22:00;0,55;Tegelik;
02.08.2019 22:00;02.08.2019 23:00;0,627;Tegelik;
