
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.06.2019 00:00;01.06.2019 01:00;0,128;Tegelik;
01.06.2019 01:00;01.06.2019 02:00;0,087;Tegelik;
01.06.2019 02:00;01.06.2019 03:00;0,085;Tegelik;
01.06.2019 03:00;01.06.2019 04:00;0,103;Tegelik;
01.06.2019 04:00;01.06.2019 05:00;0,106;Tegelik;
01.06.2019 05:00;01.06.2019 06:00;0,107;Tegelik;
01.06.2019 06:00;01.06.2019 07:00;0,498;Tegelik;
01.06.2019 07:00;01.06.2019 08:00;0,288;Tegelik;
01.06.2019 08:00;01.06.2019 09:00;0,519;Tegelik;
01.06.2019 09:00;01.06.2019 10:00;0,189;Tegelik;
01.06.2019 10:00;01.06.2019 11:00;0,39;Tegelik;
01.06.2019 11:00;01.06.2019 12:00;0,235;Tegelik;
01.06.2019 12:00;01.06.2019 13:00;1,343;Tegelik;
01.06.2019 13:00;01.06.2019 14:00;0,573;Tegelik;
01.06.2019 14:00;01.06.2019 15:00;1,836;Tegelik;
01.06.2019 15:00;01.06.2019 16:00;0,75;Tegelik;
01.06.2019 16:00;01.06.2019 17:00;0,221;Tegelik;
01.06.2019 17:00;01.06.2019 18:00;0,286;Tegelik;
01.06.2019 18:00;01.06.2019 19:00;0,808;Tegelik;
01.06.2019 19:00;01.06.2019 20:00;0,582;Tegelik;
01.06.2019 20:00;01.06.2019 21:00;0,705;Tegelik;
01.06.2019 21:00;01.06.2019 22:00;0,363;Tegelik;
01.06.2019 22:00;01.06.2019 23:00;0,534;Tegelik;
01.06.2019 23:00;02.06.2019 00:00;0,553;Tegelik;
02.06.2019 00:00;02.06.2019 01:00;0,455;Tegelik;
02.06.2019 01:00;02.06.2019 02:00;1,229;Tegelik;
02.06.2019 02:00;02.06.2019 03:00;0,146;Tegelik;
02.06.2019 03:00;02.06.2019 04:00;1,256;Tegelik;
02.06.2019 04:00;02.06.2019 05:00;1,182;Tegelik;
02.06.2019 05:00;02.06.2019 06:00;0,146;Tegelik;
02.06.2019 06:00;02.06.2019 07:00;0,14;Tegelik;
02.06.2019 07:00;02.06.2019 08:00;0,139;Tegelik;
02.06.2019 08:00;02.06.2019 09:00;0,139;Tegelik;
02.06.2019 09:00;02.06.2019 10:00;0,333;Tegelik;
02.06.2019 10:00;02.06.2019 11:00;0,578;Tegelik;
02.06.2019 11:00;02.06.2019 12:00;0,403;Tegelik;
02.06.2019 12:00;02.06.2019 13:00;0,442;Tegelik;
02.06.2019 13:00;02.06.2019 14:00;0,478;Tegelik;
02.06.2019 14:00;02.06.2019 15:00;0,929;Tegelik;
02.06.2019 15:00;02.06.2019 16:00;0,413;Tegelik;
02.06.2019 16:00;02.06.2019 17:00;0,35;Tegelik;
02.06.2019 17:00;02.06.2019 18:00;0,592;Tegelik;
02.06.2019 18:00;02.06.2019 19:00;5,364;Tegelik;
02.06.2019 19:00;02.06.2019 20:00;7,787;Tegelik;
02.06.2019 20:00;02.06.2019 21:00;4,889;Tegelik;
02.06.2019 21:00;02.06.2019 22:00;2,086;Tegelik;
02.06.2019 22:00;02.06.2019 23:00;0,584;Tegelik;
