
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
04.07.2018 22:00;04.07.2018 23:00;0,405;Tegelik;
04.07.2018 23:00;05.07.2018 00:00;0,417;Tegelik;
05.07.2018 00:00;05.07.2018 01:00;2,132;Tegelik;
05.07.2018 01:00;05.07.2018 02:00;0,34;Tegelik;
05.07.2018 02:00;05.07.2018 03:00;0,19;Tegelik;
05.07.2018 03:00;05.07.2018 04:00;0,171;Tegelik;
05.07.2018 04:00;05.07.2018 05:00;0,152;Tegelik;
05.07.2018 05:00;05.07.2018 06:00;0,142;Tegelik;
05.07.2018 06:00;05.07.2018 07:00;0,472;Tegelik;
05.07.2018 07:00;05.07.2018 08:00;1,992;Tegelik;
05.07.2018 08:00;05.07.2018 09:00;0,447;Tegelik;
05.07.2018 09:00;05.07.2018 10:00;0,395;Tegelik;
05.07.2018 10:00;05.07.2018 11:00;1,086;Tegelik;
05.07.2018 11:00;05.07.2018 12:00;1,016;Tegelik;
05.07.2018 12:00;05.07.2018 13:00;0,417;Tegelik;
05.07.2018 13:00;05.07.2018 14:00;0,659;Tegelik;
05.07.2018 14:00;05.07.2018 15:00;0,594;Tegelik;
05.07.2018 15:00;05.07.2018 16:00;0,322;Tegelik;
05.07.2018 16:00;05.07.2018 17:00;0,373;Tegelik;
05.07.2018 17:00;05.07.2018 18:00;0,661;Tegelik;
05.07.2018 18:00;05.07.2018 19:00;0,35;Tegelik;
05.07.2018 19:00;05.07.2018 20:00;0,214;Tegelik;
05.07.2018 20:00;05.07.2018 21:00;0,217;Tegelik;
05.07.2018 21:00;05.07.2018 22:00;0,411;Tegelik;
05.07.2018 22:00;05.07.2018 23:00;0,538;Tegelik;
05.07.2018 23:00;06.07.2018 00:00;0,434;Tegelik;
06.07.2018 00:00;06.07.2018 01:00;0,418;Tegelik;
06.07.2018 01:00;06.07.2018 02:00;1,643;Tegelik;
06.07.2018 02:00;06.07.2018 03:00;0,228;Tegelik;
06.07.2018 03:00;06.07.2018 04:00;0,155;Tegelik;
06.07.2018 04:00;06.07.2018 05:00;0,15;Tegelik;
06.07.2018 05:00;06.07.2018 06:00;2,403;Tegelik;
06.07.2018 06:00;06.07.2018 07:00;0,729;Tegelik;
06.07.2018 07:00;06.07.2018 08:00;0,204;Tegelik;
06.07.2018 08:00;06.07.2018 09:00;0,3;Tegelik;
06.07.2018 09:00;06.07.2018 10:00;0,244;Tegelik;
06.07.2018 10:00;06.07.2018 11:00;0,204;Tegelik;
06.07.2018 11:00;06.07.2018 12:00;0,263;Tegelik;
06.07.2018 12:00;06.07.2018 13:00;0,358;Tegelik;
06.07.2018 13:00;06.07.2018 14:00;0,448;Tegelik;
06.07.2018 14:00;06.07.2018 15:00;0,345;Tegelik;
06.07.2018 15:00;06.07.2018 16:00;0,223;Tegelik;
06.07.2018 16:00;06.07.2018 17:00;0,218;Tegelik;
06.07.2018 17:00;06.07.2018 18:00;0,231;Tegelik;
06.07.2018 18:00;06.07.2018 19:00;0,358;Tegelik;
06.07.2018 19:00;06.07.2018 20:00;0,333;Tegelik;
06.07.2018 20:00;06.07.2018 21:00;0,326;Tegelik;
06.07.2018 21:00;06.07.2018 22:00;0,363;Tegelik;
06.07.2018 22:00;06.07.2018 23:00;0,554;Tegelik;
06.07.2018 23:00;07.07.2018 00:00;0,616;Tegelik;
07.07.2018 00:00;07.07.2018 01:00;0,568;Tegelik;
07.07.2018 01:00;07.07.2018 02:00;0,453;Tegelik;
07.07.2018 02:00;07.07.2018 03:00;0,19;Tegelik;
07.07.2018 03:00;07.07.2018 04:00;0,179;Tegelik;
07.07.2018 04:00;07.07.2018 05:00;0,182;Tegelik;
07.07.2018 05:00;07.07.2018 06:00;0,321;Tegelik;
07.07.2018 06:00;07.07.2018 07:00;0,347;Tegelik;
07.07.2018 07:00;07.07.2018 08:00;0,441;Tegelik;
07.07.2018 08:00;07.07.2018 09:00;0,231;Tegelik;
07.07.2018 09:00;07.07.2018 10:00;0,167;Tegelik;
07.07.2018 10:00;07.07.2018 11:00;0,629;Tegelik;
07.07.2018 11:00;07.07.2018 12:00;0,304;Tegelik;
07.07.2018 12:00;07.07.2018 13:00;0,578;Tegelik;
07.07.2018 13:00;07.07.2018 14:00;2,234;Tegelik;
07.07.2018 14:00;07.07.2018 15:00;0,704;Tegelik;
07.07.2018 15:00;07.07.2018 16:00;0,461;Tegelik;
07.07.2018 16:00;07.07.2018 17:00;0,434;Tegelik;
07.07.2018 17:00;07.07.2018 18:00;1,978;Tegelik;
07.07.2018 18:00;07.07.2018 19:00;0,45;Tegelik;
07.07.2018 19:00;07.07.2018 20:00;0,34;Tegelik;
07.07.2018 20:00;07.07.2018 21:00;0,416;Tegelik;
07.07.2018 21:00;07.07.2018 22:00;0,239;Tegelik;
07.07.2018 22:00;07.07.2018 23:00;0,209;Tegelik;
07.07.2018 23:00;08.07.2018 00:00;0,258;Tegelik;
08.07.2018 00:00;08.07.2018 01:00;0,359;Tegelik;
08.07.2018 01:00;08.07.2018 02:00;0,34;Tegelik;
08.07.2018 02:00;08.07.2018 03:00;0,161;Tegelik;
08.07.2018 03:00;08.07.2018 04:00;0,156;Tegelik;
08.07.2018 04:00;08.07.2018 05:00;0,21;Tegelik;
08.07.2018 05:00;08.07.2018 06:00;0,165;Tegelik;
08.07.2018 06:00;08.07.2018 07:00;0,145;Tegelik;
08.07.2018 07:00;08.07.2018 08:00;0,141;Tegelik;
08.07.2018 08:00;08.07.2018 09:00;1,402;Tegelik;
08.07.2018 09:00;08.07.2018 10:00;1,098;Tegelik;
08.07.2018 10:00;08.07.2018 11:00;1,331;Tegelik;
08.07.2018 11:00;08.07.2018 12:00;1,173;Tegelik;
08.07.2018 12:00;08.07.2018 13:00;1,198;Tegelik;
08.07.2018 13:00;08.07.2018 14:00;0,941;Tegelik;
08.07.2018 14:00;08.07.2018 15:00;0,948;Tegelik;
08.07.2018 15:00;08.07.2018 16:00;0,295;Tegelik;
08.07.2018 16:00;08.07.2018 17:00;1,852;Tegelik;
08.07.2018 17:00;08.07.2018 18:00;1,61;Tegelik;
08.07.2018 18:00;08.07.2018 19:00;1,195;Tegelik;
