
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.10.2018 00:00;01.10.2018 01:00;0,211;Tegelik;
01.10.2018 01:00;01.10.2018 02:00;0,71;Tegelik;
01.10.2018 02:00;01.10.2018 03:00;2,001;Tegelik;
01.10.2018 03:00;01.10.2018 04:00;1,675;Tegelik;
01.10.2018 04:00;01.10.2018 05:00;0,859;Tegelik;
01.10.2018 05:00;01.10.2018 06:00;0,954;Tegelik;
01.10.2018 06:00;01.10.2018 07:00;2,164;Tegelik;
01.10.2018 07:00;01.10.2018 08:00;1,23;Tegelik;
01.10.2018 08:00;01.10.2018 09:00;0,34;Tegelik;
01.10.2018 09:00;01.10.2018 10:00;0,142;Tegelik;
01.10.2018 10:00;01.10.2018 11:00;0,129;Tegelik;
01.10.2018 11:00;01.10.2018 12:00;0,132;Tegelik;
01.10.2018 12:00;01.10.2018 13:00;0,27;Tegelik;
01.10.2018 13:00;01.10.2018 14:00;0,134;Tegelik;
01.10.2018 14:00;01.10.2018 15:00;0,25;Tegelik;
01.10.2018 15:00;01.10.2018 16:00;0,218;Tegelik;
01.10.2018 16:00;01.10.2018 17:00;1,06;Tegelik;
01.10.2018 17:00;01.10.2018 18:00;0,613;Tegelik;
01.10.2018 18:00;01.10.2018 19:00;0,125;Tegelik;
01.10.2018 19:00;01.10.2018 20:00;0,098;Tegelik;
01.10.2018 20:00;01.10.2018 21:00;1,712;Tegelik;
01.10.2018 21:00;01.10.2018 22:00;2,021;Tegelik;
01.10.2018 22:00;01.10.2018 23:00;1,286;Tegelik;
01.10.2018 23:00;02.10.2018 00:00;0,458;Tegelik;
02.10.2018 00:00;02.10.2018 01:00;1,676;Tegelik;
02.10.2018 01:00;02.10.2018 02:00;2,167;Tegelik;
02.10.2018 02:00;02.10.2018 03:00;0,145;Tegelik;
02.10.2018 03:00;02.10.2018 04:00;1,345;Tegelik;
02.10.2018 04:00;02.10.2018 05:00;0,963;Tegelik;
02.10.2018 05:00;02.10.2018 06:00;2,157;Tegelik;
02.10.2018 06:00;02.10.2018 07:00;2,21;Tegelik;
02.10.2018 07:00;02.10.2018 08:00;1,978;Tegelik;
02.10.2018 08:00;02.10.2018 09:00;0,223;Tegelik;
02.10.2018 09:00;02.10.2018 10:00;0,159;Tegelik;
02.10.2018 10:00;02.10.2018 11:00;0,145;Tegelik;
02.10.2018 11:00;02.10.2018 12:00;0,131;Tegelik;
02.10.2018 12:00;02.10.2018 13:00;0,171;Tegelik;
02.10.2018 13:00;02.10.2018 14:00;0,144;Tegelik;
02.10.2018 14:00;02.10.2018 15:00;1,55;Tegelik;
02.10.2018 15:00;02.10.2018 16:00;0,166;Tegelik;
02.10.2018 16:00;02.10.2018 17:00;0,615;Tegelik;
02.10.2018 17:00;02.10.2018 18:00;0,705;Tegelik;
02.10.2018 18:00;02.10.2018 19:00;0,203;Tegelik;
02.10.2018 19:00;02.10.2018 20:00;1,84;Tegelik;
02.10.2018 20:00;02.10.2018 21:00;1,487;Tegelik;
02.10.2018 21:00;02.10.2018 22:00;0,486;Tegelik;
02.10.2018 22:00;02.10.2018 23:00;1,152;Tegelik;
