
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.04.2019 00:00;01.04.2019 01:00;1,483;Tegelik;
01.04.2019 01:00;01.04.2019 02:00;1,326;Tegelik;
01.04.2019 02:00;01.04.2019 03:00;1,314;Tegelik;
01.04.2019 03:00;01.04.2019 04:00;1,317;Tegelik;
01.04.2019 04:00;01.04.2019 05:00;1,322;Tegelik;
01.04.2019 05:00;01.04.2019 06:00;1,27;Tegelik;
01.04.2019 06:00;01.04.2019 07:00;1,632;Tegelik;
01.04.2019 07:00;01.04.2019 08:00;0,367;Tegelik;
01.04.2019 08:00;01.04.2019 09:00;0,255;Tegelik;
01.04.2019 09:00;01.04.2019 10:00;0,237;Tegelik;
01.04.2019 10:00;01.04.2019 11:00;0,178;Tegelik;
01.04.2019 11:00;01.04.2019 12:00;0,149;Tegelik;
01.04.2019 12:00;01.04.2019 13:00;0,144;Tegelik;
01.04.2019 13:00;01.04.2019 14:00;2,294;Tegelik;
01.04.2019 14:00;01.04.2019 15:00;1,673;Tegelik;
01.04.2019 15:00;01.04.2019 16:00;0,681;Tegelik;
01.04.2019 16:00;01.04.2019 17:00;2,032;Tegelik;
01.04.2019 17:00;01.04.2019 18:00;0,716;Tegelik;
01.04.2019 18:00;01.04.2019 19:00;1,463;Tegelik;
01.04.2019 19:00;01.04.2019 20:00;1,38;Tegelik;
01.04.2019 20:00;01.04.2019 21:00;1,331;Tegelik;
01.04.2019 21:00;01.04.2019 22:00;1,534;Tegelik;
01.04.2019 22:00;01.04.2019 23:00;1,615;Tegelik;
01.04.2019 23:00;02.04.2019 00:00;1,641;Tegelik;
02.04.2019 00:00;02.04.2019 01:00;1,7;Tegelik;
02.04.2019 01:00;02.04.2019 02:00;1,748;Tegelik;
02.04.2019 02:00;02.04.2019 03:00;1,65;Tegelik;
02.04.2019 03:00;02.04.2019 04:00;1,684;Tegelik;
02.04.2019 04:00;02.04.2019 05:00;2,047;Tegelik;
02.04.2019 05:00;02.04.2019 06:00;1,979;Tegelik;
02.04.2019 06:00;02.04.2019 07:00;2,046;Tegelik;
02.04.2019 07:00;02.04.2019 08:00;0,404;Tegelik;
02.04.2019 08:00;02.04.2019 09:00;0,376;Tegelik;
02.04.2019 09:00;02.04.2019 10:00;0,39;Tegelik;
02.04.2019 10:00;02.04.2019 11:00;0,222;Tegelik;
02.04.2019 11:00;02.04.2019 12:00;1,207;Tegelik;
02.04.2019 12:00;02.04.2019 13:00;0,411;Tegelik;
02.04.2019 13:00;02.04.2019 14:00;1,851;Tegelik;
02.04.2019 14:00;02.04.2019 15:00;1,605;Tegelik;
02.04.2019 15:00;02.04.2019 16:00;0,312;Tegelik;
02.04.2019 16:00;02.04.2019 17:00;1,581;Tegelik;
02.04.2019 17:00;02.04.2019 18:00;1,356;Tegelik;
02.04.2019 18:00;02.04.2019 19:00;1,355;Tegelik;
02.04.2019 19:00;02.04.2019 20:00;0,462;Tegelik;
02.04.2019 20:00;02.04.2019 21:00;2,217;Tegelik;
02.04.2019 21:00;02.04.2019 22:00;1,708;Tegelik;
02.04.2019 22:00;02.04.2019 23:00;1,467;Tegelik;
