
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.07.2019 00:00;01.07.2019 01:00;0,261;Tegelik;
01.07.2019 01:00;01.07.2019 02:00;0,127;Tegelik;
01.07.2019 02:00;01.07.2019 03:00;0,09;Tegelik;
01.07.2019 03:00;01.07.2019 04:00;0,081;Tegelik;
01.07.2019 04:00;01.07.2019 05:00;0,09;Tegelik;
01.07.2019 05:00;01.07.2019 06:00;0,142;Tegelik;
01.07.2019 06:00;01.07.2019 07:00;0,178;Tegelik;
01.07.2019 07:00;01.07.2019 08:00;0,256;Tegelik;
01.07.2019 08:00;01.07.2019 09:00;0,092;Tegelik;
01.07.2019 09:00;01.07.2019 10:00;0,229;Tegelik;
01.07.2019 10:00;01.07.2019 11:00;0,17;Tegelik;
01.07.2019 11:00;01.07.2019 12:00;0,204;Tegelik;
01.07.2019 12:00;01.07.2019 13:00;0,153;Tegelik;
01.07.2019 13:00;01.07.2019 14:00;0,201;Tegelik;
01.07.2019 14:00;01.07.2019 15:00;0,187;Tegelik;
01.07.2019 15:00;01.07.2019 16:00;0,297;Tegelik;
01.07.2019 16:00;01.07.2019 17:00;0,239;Tegelik;
01.07.2019 17:00;01.07.2019 18:00;0,726;Tegelik;
01.07.2019 18:00;01.07.2019 19:00;0,247;Tegelik;
01.07.2019 19:00;01.07.2019 20:00;0,413;Tegelik;
01.07.2019 20:00;01.07.2019 21:00;0,274;Tegelik;
01.07.2019 21:00;01.07.2019 22:00;0,327;Tegelik;
01.07.2019 22:00;01.07.2019 23:00;0,3;Tegelik;
01.07.2019 23:00;02.07.2019 00:00;0,71;Tegelik;
02.07.2019 00:00;02.07.2019 01:00;0,327;Tegelik;
02.07.2019 01:00;02.07.2019 02:00;1,201;Tegelik;
02.07.2019 02:00;02.07.2019 03:00;0,076;Tegelik;
02.07.2019 03:00;02.07.2019 04:00;0,075;Tegelik;
02.07.2019 04:00;02.07.2019 05:00;0,079;Tegelik;
02.07.2019 05:00;02.07.2019 06:00;0,08;Tegelik;
02.07.2019 06:00;02.07.2019 07:00;0,183;Tegelik;
02.07.2019 07:00;02.07.2019 08:00;0,091;Tegelik;
02.07.2019 08:00;02.07.2019 09:00;0,078;Tegelik;
02.07.2019 09:00;02.07.2019 10:00;0,073;Tegelik;
02.07.2019 10:00;02.07.2019 11:00;0,32;Tegelik;
02.07.2019 11:00;02.07.2019 12:00;0,346;Tegelik;
02.07.2019 12:00;02.07.2019 13:00;0,217;Tegelik;
02.07.2019 13:00;02.07.2019 14:00;0,083;Tegelik;
02.07.2019 14:00;02.07.2019 15:00;0,123;Tegelik;
02.07.2019 15:00;02.07.2019 16:00;1,823;Tegelik;
02.07.2019 16:00;02.07.2019 17:00;1,835;Tegelik;
02.07.2019 17:00;02.07.2019 18:00;0,751;Tegelik;
02.07.2019 18:00;02.07.2019 19:00;0,227;Tegelik;
02.07.2019 19:00;02.07.2019 20:00;0,18;Tegelik;
02.07.2019 20:00;02.07.2019 21:00;0,257;Tegelik;
02.07.2019 21:00;02.07.2019 22:00;0,277;Tegelik;
02.07.2019 22:00;02.07.2019 23:00;0,562;Tegelik;
