
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.02.2019 00:00;01.02.2019 01:00;2,652;Tegelik;
01.02.2019 01:00;01.02.2019 02:00;3,386;Tegelik;
01.02.2019 02:00;01.02.2019 03:00;1,996;Tegelik;
01.02.2019 03:00;01.02.2019 04:00;1,693;Tegelik;
01.02.2019 04:00;01.02.2019 05:00;1,839;Tegelik;
01.02.2019 05:00;01.02.2019 06:00;1,96;Tegelik;
01.02.2019 06:00;01.02.2019 07:00;1,856;Tegelik;
01.02.2019 07:00;01.02.2019 08:00;0,097;Tegelik;
01.02.2019 08:00;01.02.2019 09:00;1,11;Tegelik;
01.02.2019 09:00;01.02.2019 10:00;2,059;Tegelik;
01.02.2019 10:00;01.02.2019 11:00;1,494;Tegelik;
01.02.2019 11:00;01.02.2019 12:00;1,496;Tegelik;
01.02.2019 12:00;01.02.2019 13:00;1,327;Tegelik;
01.02.2019 13:00;01.02.2019 14:00;1,13;Tegelik;
01.02.2019 14:00;01.02.2019 15:00;2,417;Tegelik;
01.02.2019 15:00;01.02.2019 16:00;2,421;Tegelik;
01.02.2019 16:00;01.02.2019 17:00;1,832;Tegelik;
01.02.2019 17:00;01.02.2019 18:00;1,7;Tegelik;
01.02.2019 18:00;01.02.2019 19:00;2,002;Tegelik;
01.02.2019 19:00;01.02.2019 20:00;2,058;Tegelik;
01.02.2019 20:00;01.02.2019 21:00;2,087;Tegelik;
01.02.2019 21:00;01.02.2019 22:00;2,052;Tegelik;
01.02.2019 22:00;01.02.2019 23:00;2,072;Tegelik;
01.02.2019 23:00;02.02.2019 00:00;1,807;Tegelik;
02.02.2019 00:00;02.02.2019 01:00;2,29;Tegelik;
02.02.2019 01:00;02.02.2019 02:00;2,252;Tegelik;
02.02.2019 02:00;02.02.2019 03:00;2,367;Tegelik;
02.02.2019 03:00;02.02.2019 04:00;1,594;Tegelik;
02.02.2019 04:00;02.02.2019 05:00;1,614;Tegelik;
02.02.2019 05:00;02.02.2019 06:00;1,502;Tegelik;
02.02.2019 06:00;02.02.2019 07:00;1,544;Tegelik;
02.02.2019 07:00;02.02.2019 08:00;1,515;Tegelik;
02.02.2019 08:00;02.02.2019 09:00;1,485;Tegelik;
02.02.2019 09:00;02.02.2019 10:00;2,514;Tegelik;
02.02.2019 10:00;02.02.2019 11:00;2,523;Tegelik;
02.02.2019 11:00;02.02.2019 12:00;1,845;Tegelik;
02.02.2019 12:00;02.02.2019 13:00;1,557;Tegelik;
02.02.2019 13:00;02.02.2019 14:00;2,118;Tegelik;
02.02.2019 14:00;02.02.2019 15:00;1,698;Tegelik;
02.02.2019 15:00;02.02.2019 16:00;2,082;Tegelik;
02.02.2019 16:00;02.02.2019 17:00;1,747;Tegelik;
02.02.2019 17:00;02.02.2019 18:00;2,284;Tegelik;
02.02.2019 18:00;02.02.2019 19:00;3,208;Tegelik;
02.02.2019 19:00;02.02.2019 20:00;1,991;Tegelik;
02.02.2019 20:00;02.02.2019 21:00;2,023;Tegelik;
02.02.2019 21:00;02.02.2019 22:00;1,855;Tegelik;
02.02.2019 22:00;02.02.2019 23:00;1,879;Tegelik;
