
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.06.2018 00:00;01.06.2018 01:00;2,087;Tegelik;
01.06.2018 01:00;01.06.2018 02:00;0,967;Tegelik;
01.06.2018 02:00;01.06.2018 03:00;0,147;Tegelik;
01.06.2018 03:00;01.06.2018 04:00;0,14;Tegelik;
01.06.2018 04:00;01.06.2018 05:00;0,139;Tegelik;
01.06.2018 05:00;01.06.2018 06:00;0,137;Tegelik;
01.06.2018 06:00;01.06.2018 07:00;0,195;Tegelik;
01.06.2018 07:00;01.06.2018 08:00;0,475;Tegelik;
01.06.2018 08:00;01.06.2018 09:00;0,265;Tegelik;
01.06.2018 09:00;01.06.2018 10:00;0,182;Tegelik;
01.06.2018 10:00;01.06.2018 11:00;0,135;Tegelik;
01.06.2018 11:00;01.06.2018 12:00;0,261;Tegelik;
01.06.2018 12:00;01.06.2018 13:00;0,231;Tegelik;
01.06.2018 13:00;01.06.2018 14:00;0,26;Tegelik;
01.06.2018 14:00;01.06.2018 15:00;0,191;Tegelik;
01.06.2018 15:00;01.06.2018 16:00;0,264;Tegelik;
01.06.2018 16:00;01.06.2018 17:00;0,385;Tegelik;
01.06.2018 17:00;01.06.2018 18:00;0,205;Tegelik;
01.06.2018 18:00;01.06.2018 19:00;0,203;Tegelik;
01.06.2018 19:00;01.06.2018 20:00;1,3;Tegelik;
01.06.2018 20:00;01.06.2018 21:00;0,298;Tegelik;
01.06.2018 21:00;01.06.2018 22:00;0,277;Tegelik;
01.06.2018 22:00;01.06.2018 23:00;0,249;Tegelik;
01.06.2018 23:00;02.06.2018 00:00;0,354;Tegelik;
02.06.2018 00:00;02.06.2018 01:00;1,508;Tegelik;
02.06.2018 01:00;02.06.2018 02:00;0,26;Tegelik;
02.06.2018 02:00;02.06.2018 03:00;0,24;Tegelik;
02.06.2018 03:00;02.06.2018 04:00;0,145;Tegelik;
02.06.2018 04:00;02.06.2018 05:00;0,141;Tegelik;
02.06.2018 05:00;02.06.2018 06:00;0,139;Tegelik;
02.06.2018 06:00;02.06.2018 07:00;0,139;Tegelik;
02.06.2018 07:00;02.06.2018 08:00;0,138;Tegelik;
02.06.2018 08:00;02.06.2018 09:00;0,232;Tegelik;
02.06.2018 09:00;02.06.2018 10:00;0,397;Tegelik;
02.06.2018 10:00;02.06.2018 11:00;0,29;Tegelik;
02.06.2018 11:00;02.06.2018 12:00;1,931;Tegelik;
02.06.2018 12:00;02.06.2018 13:00;0,737;Tegelik;
02.06.2018 13:00;02.06.2018 14:00;0,319;Tegelik;
02.06.2018 14:00;02.06.2018 15:00;0,585;Tegelik;
02.06.2018 15:00;02.06.2018 16:00;0,416;Tegelik;
02.06.2018 16:00;02.06.2018 17:00;0,587;Tegelik;
02.06.2018 17:00;02.06.2018 18:00;1,483;Tegelik;
02.06.2018 18:00;02.06.2018 19:00;0,516;Tegelik;
02.06.2018 19:00;02.06.2018 20:00;0,796;Tegelik;
02.06.2018 20:00;02.06.2018 21:00;1,466;Tegelik;
02.06.2018 21:00;02.06.2018 22:00;0,354;Tegelik;
02.06.2018 22:00;02.06.2018 23:00;0,479;Tegelik;
