
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.09.2018 00:00;01.09.2018 01:00;1,964;Tegelik;
01.09.2018 01:00;01.09.2018 02:00;0,742;Tegelik;
01.09.2018 02:00;01.09.2018 03:00;0,121;Tegelik;
01.09.2018 03:00;01.09.2018 04:00;0,075;Tegelik;
01.09.2018 04:00;01.09.2018 05:00;0,067;Tegelik;
01.09.2018 05:00;01.09.2018 06:00;0,065;Tegelik;
01.09.2018 06:00;01.09.2018 07:00;0,064;Tegelik;
01.09.2018 07:00;01.09.2018 08:00;0,064;Tegelik;
01.09.2018 08:00;01.09.2018 09:00;0,08;Tegelik;
01.09.2018 09:00;01.09.2018 10:00;0,44;Tegelik;
01.09.2018 10:00;01.09.2018 11:00;1,958;Tegelik;
01.09.2018 11:00;01.09.2018 12:00;1,954;Tegelik;
01.09.2018 12:00;01.09.2018 13:00;0,11;Tegelik;
01.09.2018 13:00;01.09.2018 14:00;0,819;Tegelik;
01.09.2018 14:00;01.09.2018 15:00;0,18;Tegelik;
01.09.2018 15:00;01.09.2018 16:00;0,164;Tegelik;
01.09.2018 16:00;01.09.2018 17:00;0,139;Tegelik;
01.09.2018 17:00;01.09.2018 18:00;0,104;Tegelik;
01.09.2018 18:00;01.09.2018 19:00;0,15;Tegelik;
01.09.2018 19:00;01.09.2018 20:00;0,116;Tegelik;
01.09.2018 20:00;01.09.2018 21:00;0,072;Tegelik;
01.09.2018 21:00;01.09.2018 22:00;0,07;Tegelik;
01.09.2018 22:00;01.09.2018 23:00;0,068;Tegelik;
01.09.2018 23:00;02.09.2018 00:00;0,067;Tegelik;
02.09.2018 00:00;02.09.2018 01:00;0,065;Tegelik;
02.09.2018 01:00;02.09.2018 02:00;0,164;Tegelik;
02.09.2018 02:00;02.09.2018 03:00;0,074;Tegelik;
02.09.2018 03:00;02.09.2018 04:00;0,065;Tegelik;
02.09.2018 04:00;02.09.2018 05:00;0,064;Tegelik;
02.09.2018 05:00;02.09.2018 06:00;0,062;Tegelik;
02.09.2018 06:00;02.09.2018 07:00;0,063;Tegelik;
02.09.2018 07:00;02.09.2018 08:00;0,062;Tegelik;
02.09.2018 08:00;02.09.2018 09:00;0,33;Tegelik;
02.09.2018 09:00;02.09.2018 10:00;0,068;Tegelik;
02.09.2018 10:00;02.09.2018 11:00;0,23;Tegelik;
02.09.2018 11:00;02.09.2018 12:00;0,328;Tegelik;
02.09.2018 12:00;02.09.2018 13:00;0,146;Tegelik;
02.09.2018 13:00;02.09.2018 14:00;0,122;Tegelik;
02.09.2018 14:00;02.09.2018 15:00;0,172;Tegelik;
02.09.2018 15:00;02.09.2018 16:00;0,464;Tegelik;
02.09.2018 16:00;02.09.2018 17:00;0,663;Tegelik;
02.09.2018 17:00;02.09.2018 18:00;0,603;Tegelik;
02.09.2018 18:00;02.09.2018 19:00;2,998;Tegelik;
02.09.2018 19:00;02.09.2018 20:00;6,862;Tegelik;
02.09.2018 20:00;02.09.2018 21:00;4,641;Tegelik;
02.09.2018 21:00;02.09.2018 22:00;0,921;Tegelik;
02.09.2018 22:00;02.09.2018 23:00;1,211;Tegelik;
