
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.03.2019 00:00;01.03.2019 01:00;3,266;Tegelik;
01.03.2019 01:00;01.03.2019 02:00;2,513;Tegelik;
01.03.2019 02:00;01.03.2019 03:00;1,642;Tegelik;
01.03.2019 03:00;01.03.2019 04:00;1,835;Tegelik;
01.03.2019 04:00;01.03.2019 05:00;1,961;Tegelik;
01.03.2019 05:00;01.03.2019 06:00;2,376;Tegelik;
01.03.2019 06:00;01.03.2019 07:00;2,383;Tegelik;
01.03.2019 07:00;01.03.2019 08:00;0,133;Tegelik;
01.03.2019 08:00;01.03.2019 09:00;0,899;Tegelik;
01.03.2019 09:00;01.03.2019 10:00;2,5;Tegelik;
01.03.2019 10:00;01.03.2019 11:00;1,787;Tegelik;
01.03.2019 11:00;01.03.2019 12:00;1,648;Tegelik;
01.03.2019 12:00;01.03.2019 13:00;1,282;Tegelik;
01.03.2019 13:00;01.03.2019 14:00;1,935;Tegelik;
01.03.2019 14:00;01.03.2019 15:00;2,511;Tegelik;
01.03.2019 15:00;01.03.2019 16:00;2,033;Tegelik;
01.03.2019 16:00;01.03.2019 17:00;2,066;Tegelik;
01.03.2019 17:00;01.03.2019 18:00;2,342;Tegelik;
01.03.2019 18:00;01.03.2019 19:00;2,354;Tegelik;
01.03.2019 19:00;01.03.2019 20:00;2,538;Tegelik;
01.03.2019 20:00;01.03.2019 21:00;2,692;Tegelik;
01.03.2019 21:00;01.03.2019 22:00;2,937;Tegelik;
01.03.2019 22:00;01.03.2019 23:00;2,927;Tegelik;
01.03.2019 23:00;02.03.2019 00:00;2,57;Tegelik;
02.03.2019 00:00;02.03.2019 01:00;3,382;Tegelik;
02.03.2019 01:00;02.03.2019 02:00;2,547;Tegelik;
02.03.2019 02:00;02.03.2019 03:00;3,36;Tegelik;
02.03.2019 03:00;02.03.2019 04:00;2,491;Tegelik;
02.03.2019 04:00;02.03.2019 05:00;2,656;Tegelik;
02.03.2019 05:00;02.03.2019 06:00;3,4;Tegelik;
02.03.2019 06:00;02.03.2019 07:00;2,581;Tegelik;
02.03.2019 07:00;02.03.2019 08:00;2,228;Tegelik;
02.03.2019 08:00;02.03.2019 09:00;1,663;Tegelik;
02.03.2019 09:00;02.03.2019 10:00;2,06;Tegelik;
02.03.2019 10:00;02.03.2019 11:00;2,113;Tegelik;
02.03.2019 11:00;02.03.2019 12:00;3,146;Tegelik;
02.03.2019 12:00;02.03.2019 13:00;1,703;Tegelik;
02.03.2019 13:00;02.03.2019 14:00;1,43;Tegelik;
02.03.2019 14:00;02.03.2019 15:00;2,787;Tegelik;
02.03.2019 15:00;02.03.2019 16:00;3,008;Tegelik;
02.03.2019 16:00;02.03.2019 17:00;2,959;Tegelik;
02.03.2019 17:00;02.03.2019 18:00;2,605;Tegelik;
02.03.2019 18:00;02.03.2019 19:00;1,771;Tegelik;
02.03.2019 19:00;02.03.2019 20:00;1,582;Tegelik;
02.03.2019 20:00;02.03.2019 21:00;1,589;Tegelik;
02.03.2019 21:00;02.03.2019 22:00;2,147;Tegelik;
02.03.2019 22:00;02.03.2019 23:00;1,674;Tegelik;
