
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
01.08.2018 00:00;01.08.2018 01:00;1,756;Tegelik;
01.08.2018 01:00;01.08.2018 02:00;1,361;Tegelik;
01.08.2018 02:00;01.08.2018 03:00;0,812;Tegelik;
01.08.2018 03:00;01.08.2018 04:00;0,191;Tegelik;
01.08.2018 04:00;01.08.2018 05:00;0,14;Tegelik;
01.08.2018 05:00;01.08.2018 06:00;0,089;Tegelik;
01.08.2018 06:00;01.08.2018 07:00;0,085;Tegelik;
01.08.2018 07:00;01.08.2018 08:00;0,249;Tegelik;
01.08.2018 08:00;01.08.2018 09:00;0,206;Tegelik;
01.08.2018 09:00;01.08.2018 10:00;0,292;Tegelik;
01.08.2018 10:00;01.08.2018 11:00;0,293;Tegelik;
01.08.2018 11:00;01.08.2018 12:00;0,249;Tegelik;
01.08.2018 12:00;01.08.2018 13:00;0,244;Tegelik;
01.08.2018 13:00;01.08.2018 14:00;0,241;Tegelik;
01.08.2018 14:00;01.08.2018 15:00;0,25;Tegelik;
01.08.2018 15:00;01.08.2018 16:00;0,534;Tegelik;
01.08.2018 16:00;01.08.2018 17:00;0,281;Tegelik;
01.08.2018 17:00;01.08.2018 18:00;0,274;Tegelik;
01.08.2018 18:00;01.08.2018 19:00;0,264;Tegelik;
01.08.2018 19:00;01.08.2018 20:00;0,233;Tegelik;
01.08.2018 20:00;01.08.2018 21:00;0,308;Tegelik;
01.08.2018 21:00;01.08.2018 22:00;0,564;Tegelik;
01.08.2018 22:00;01.08.2018 23:00;0,506;Tegelik;
01.08.2018 23:00;02.08.2018 00:00;0,387;Tegelik;
02.08.2018 00:00;02.08.2018 01:00;0,236;Tegelik;
02.08.2018 01:00;02.08.2018 02:00;0,152;Tegelik;
02.08.2018 02:00;02.08.2018 03:00;0,083;Tegelik;
02.08.2018 03:00;02.08.2018 04:00;0,076;Tegelik;
02.08.2018 04:00;02.08.2018 05:00;0,074;Tegelik;
02.08.2018 05:00;02.08.2018 06:00;0,073;Tegelik;
02.08.2018 06:00;02.08.2018 07:00;0,182;Tegelik;
02.08.2018 07:00;02.08.2018 08:00;0,246;Tegelik;
02.08.2018 08:00;02.08.2018 09:00;0,34;Tegelik;
02.08.2018 09:00;02.08.2018 10:00;0,236;Tegelik;
02.08.2018 10:00;02.08.2018 11:00;0,296;Tegelik;
02.08.2018 11:00;02.08.2018 12:00;0,294;Tegelik;
02.08.2018 12:00;02.08.2018 13:00;0,487;Tegelik;
02.08.2018 13:00;02.08.2018 14:00;0,242;Tegelik;
02.08.2018 14:00;02.08.2018 15:00;0,341;Tegelik;
02.08.2018 15:00;02.08.2018 16:00;0,355;Tegelik;
02.08.2018 16:00;02.08.2018 17:00;0,954;Tegelik;
02.08.2018 17:00;02.08.2018 18:00;1,294;Tegelik;
02.08.2018 18:00;02.08.2018 19:00;0,279;Tegelik;
02.08.2018 19:00;02.08.2018 20:00;0,329;Tegelik;
02.08.2018 20:00;02.08.2018 21:00;0,389;Tegelik;
02.08.2018 21:00;02.08.2018 22:00;0,623;Tegelik;
02.08.2018 22:00;02.08.2018 23:00;0,592;Tegelik;
