"Timestamp","Operation [1:Off, 2:On]","Dry concrete [1:Off, 2:On]","Mode [1:Tank only, 2:Heat, 3:Cool, 8:Auto, 9:Auto(Heat), 10:Auto(Cool)]","Tank [1:Off, 2:On]","Zone1-Zone2 On-Off [1:On-Off, 2:Off-On, 3:On-On]","SHP control [1:Disable, 2:Enable]","SHP flow control (forbid ΔT) [1:Disable, 2:Enable]","Zone1: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone1: (water shift/water/room) set temperature for cool mode [°C]","Zone2: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone2: (water shift/water/room) set temperature for cool  mode [°C]","Tank water set temperature [°C]","Co-efficient frequency control [%]","Current Lv [Lv]","External SW [1:Close, 2:Open]","Heat-Cool SW [1:Heat, 2:Cool]","Powerful (Actual) [1:Off, 2:On]","Quiet (Actual) [1:Off, 2:On]","3-way valve [1:Room, 2:Tank]","Defrost (Actual) [1:Off, 2:On]","Room heater (Actual) [1:Off, 2:On]","Tank heater (Actual) [1:Off, 2:On]","Solar (Actual) [1:Off, 2:On]","Bivalent (Actual) [1:Off, 2:On]","Current error status [0:No error pop up screen in RC LCD, 1:Error pop up screen in RC LCD]","Backup heater 1 status (Actual) [1:Off, 2:On]","Backup heater 2 status (Actual) [1:Off, 2:On]","Backup heater 3 status (Actual) [1:Off, 2:On]","2 Zone pump 1 status (Actual) [1:Off, 2:On]","2 Zone pump 2 status (Actual) [1:Off, 2:On]","Sterilization status (Actual) [1:Off, 2:On]","Zone1: Actual (water outlet/room/pool) temperature [°C]","Zone2: Actual (water outlet/room/pool) temperature [°C]","Actual tank temperature [°C]","Actual outdoor temperature [°C]","Inlet water temperature [°C]","Outlet water temperature [°C]","Zone1: Water temperature [°C]","Zone2: Water temperature [°C]","Zone1: Water temperature (Target) [°C]","Zone2: Water temperature (Target) [°C]","Buffer tank: Water temperature [°C]","Solar: Water temperature [°C]","Pool: Water temperature [°C]","Outlet water temperature (Target) [°C]","Outlet 2 temperature [°C]","Discharge temperature [°C]","Room thermostat internal sensor temperature [°C]","Indoor piping temperature [°C]","Outdoor piping temperature [°C]","Defrost temperature [°C]","EVA outlet temperature [°C]","Bypass outlet temperature [°C]","IPM temperature [°C]","High pressure [kgf/cm2]","Low pressure [kgf/cm2]","Outdoor current [A]","Compressor frequency [Hz]","Pump flow rate [L/min]","Pump speed [r/min]","Pump duty [duty]","Fan motor speed 1 [r/min]","Fan motor speed 2 [r/min]","2 Zone mixing valve 1 opening [sec]","2 Zone mixing valve 2 opening [sec]","Heat mode energy consumption [kW]","Heat mode energy generation [kW]","Cool mode energy consumption [kW]","Cool mode energy generation [kW]","Tank mode energy consumption [kW]","Tank mode energy generation [kW]"
"05.May.2019 22:30:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","36","3","35.25","39.25","-78","-78","38","47","-78","-78","-78","38","39","48","25","39","0","3","1","14","20","23.6","0.0","2.2","25","17.68","1900","88","480","520","0","0","1.4000000000000001","4.6000000000000005","0.0","0.0","0.0","0.0"
"05.May.2019 22:35:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","36","3","35.75","39.25","-78","-78","38","47","-78","-78","-78","38","39","48","25","40","0","3","1","14","19","23.6","0.0","2.2","26","16.60","1800","86","480","520","0","0","1.4000000000000001","3.8000000000000003","0.0","0.0","0.0","0.0"
"05.May.2019 22:40:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","36","3","35.75","38.75","-78","-78","38","47","-78","-78","-78","38","38","48","26","39","0","3","1","15","19","23.400000000000002","0.0","2.0","22","14.81","1650","82","470","510","0","0","1.2000000000000002","3.0","0.0","0.0","0.0","0.0"
"05.May.2019 22:45:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","35","2","35.75","38.75","-78","-78","38","47","-78","-78","-78","38","38","46","26","39","0","2","1","14","19","23.400000000000002","0.0","2.0","21","14.45","1600","81","480","520","0","0","1.2000000000000002","2.8000000000000003","0.0","0.0","0.0","0.0"
"05.May.2019 22:50:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","35","2","35.75","39.25","-78","-78","38","48","-78","-78","-78","38","39","46","26","39","-1","2","1","14","18","23.400000000000002","0.0","2.0","22","14.09","1550","80","480","520","0","0","1.2000000000000002","3.2","0.0","0.0","0.0","0.0"
"05.May.2019 22:55:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","42.0","0","36","2","34.5","42.25","-78","-78","38","48","-78","-78","-78","57","42","50","26","43","-3","4","0","13","18","26.0","0.0","4.4","48","14.09","1550","80","530","570","0","0","0.0","0.0","0.0","0.0","3.0","7.6000000000000005"
"05.May.2019 23:00:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","61.0","0","35","2","57.0","61.0","-78","-78","38","48","-78","-78","-78","57","60","75","26","60","-1","10","-1","29","23","38.2","0.0","4.6000000000000005","37","24.12","3450","129","510","550","0","0","0.0","0.0","0.0","0.0","3.0","6.800000000000001"
"05.May.2019 23:05:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","53.0","0","36","2","52.5","53.25","-78","-78","38","48","-78","-78","-78","57","53","58","26","53","2","7","18","25","16","8.0","0.0","0.2","0","25.91","3700","135","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"05.May.2019 23:10:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","60.0","0","36","2","57.0","60.25","-78","-78","38","48","-78","-78","-78","57","61","81","27","60","-5","5","0","30","23","39.0","0.0","5.4","45","23.76","3450","128","540","580","0","0","0.0","0.0","0.0","0.0","3.6","5.6000000000000005"
"05.May.2019 23:15:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","55.0","0","37","2","54.5","55.0","-78","-78","38","48","-78","-78","-78","57","55","61","27","55","2","8","17","27","17","8.0","0.0","0.2","0","25.55","3700","136","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"05.May.2019 23:20:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","60.0","0","38","2","56.25","60.25","-78","-78","38","48","-78","-78","-78","57","60","83","27","59","-6","4","1","28","23","38.800000000000004","0.0","6.4","55","23.76","3400","127","530","570","0","0","0.0","0.0","0.0","0.0","4.4","6.6000000000000005"
"05.May.2019 23:25:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","53.0","0","39","2","53.25","53.25","-78","-78","38","48","-78","-78","-78","57","53","57","28","52","2","9","22","23","16","8.4","0.0","0.2","15","25.91","3700","135","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"05.May.2019 23:30:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","2","1","1","1","1","1","0","1","1","1","1","1","1","61.0","0","39","1","59.5","61.75","-78","-78","38","48","-78","-78","-78","57","61","83","28","61","-2","6","1","40","24","39.2","0.0","4.4","34","25.19","3550","131","510","550","0","0","0.0","0.0","0.0","0.0","3.0","0.0"
"05.May.2019 23:35:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","37.0","0","40","1","35.0","37.5","-78","-78","39","49","-78","-78","-78","39","37","73","28","38","0","1","1","17","18","22.8","0.0","3.0","34","25.55","2650","107","480","530","0","0","2.0","4.4","0.0","0.0","0.0","0.0"
"05.May.2019 23:40:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","41","1","35.25","39.5","-78","-78","39","49","-78","-78","-78","39","39","61","28","40","-3","2","-2","20","20","23.8","0.0","4.0","44","25.55","2650","108","520","570","0","0","2.6","7.4","0.0","0.0","0.0","0.0"
"05.May.2019 23:45:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","41","1","35.75","39.5","-78","-78","39","49","-78","-78","-78","39","39","59","28","40","-2","2","-2","20","20","23.8","0.0","4.0","44","25.55","2650","108","510","550","0","0","2.6","6.800000000000001","0.0","0.0","0.0","0.0"
"05.May.2019 23:50:04","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","40.0","0","41","1","35.75","40.0","-78","-78","39","49","-78","-78","-78","39","40","60","28","41","-2","0","-1","16","20","24.400000000000002","0.0","4.0","45","25.91","2700","108","520","560","0","0","2.6","7.6000000000000005","0.0","0.0","0.0","0.0"
