"Timestamp","Operation [1:Off, 2:On]","Dry concrete [1:Off, 2:On]","Mode [1:Tank only, 2:Heat, 3:Cool, 8:Auto, 9:Auto(Heat), 10:Auto(Cool)]","Tank [1:Off, 2:On]","Zone1-Zone2 On-Off [1:On-Off, 2:Off-On, 3:On-On]","SHP control [1:Disable, 2:Enable]","SHP flow control (forbid ΔT) [1:Disable, 2:Enable]","Zone1: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone1: (water shift/water/room) set temperature for cool mode [°C]","Zone2: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone2: (water shift/water/room) set temperature for cool  mode [°C]","Tank water set temperature [°C]","Co-efficient frequency control [%]","Current Lv [Lv]","External SW [1:Close, 2:Open]","Heat-Cool SW [1:Heat, 2:Cool]","Powerful (Actual) [1:Off, 2:On]","Quiet (Actual) [1:Off, 2:On]","3-way valve [1:Room, 2:Tank]","Defrost (Actual) [1:Off, 2:On]","Room heater (Actual) [1:Off, 2:On]","Tank heater (Actual) [1:Off, 2:On]","Solar (Actual) [1:Off, 2:On]","Bivalent (Actual) [1:Off, 2:On]","Current error status [0:No error pop up screen in RC LCD, 1:Error pop up screen in RC LCD]","Backup heater 1 status (Actual) [1:Off, 2:On]","Backup heater 2 status (Actual) [1:Off, 2:On]","Backup heater 3 status (Actual) [1:Off, 2:On]","2 Zone pump 1 status (Actual) [1:Off, 2:On]","2 Zone pump 2 status (Actual) [1:Off, 2:On]","Sterilization status (Actual) [1:Off, 2:On]","Zone1: Actual (water outlet/room/pool) temperature [°C]","Zone2: Actual (water outlet/room/pool) temperature [°C]","Actual tank temperature [°C]","Actual outdoor temperature [°C]","Inlet water temperature [°C]","Outlet water temperature [°C]","Zone1: Water temperature [°C]","Zone2: Water temperature [°C]","Zone1: Water temperature (Target) [°C]","Zone2: Water temperature (Target) [°C]","Buffer tank: Water temperature [°C]","Solar: Water temperature [°C]","Pool: Water temperature [°C]","Outlet water temperature (Target) [°C]","Outlet 2 temperature [°C]","Discharge temperature [°C]","Room thermostat internal sensor temperature [°C]","Indoor piping temperature [°C]","Outdoor piping temperature [°C]","Defrost temperature [°C]","EVA outlet temperature [°C]","Bypass outlet temperature [°C]","IPM temperature [°C]","High pressure [kgf/cm2]","Low pressure [kgf/cm2]","Outdoor current [A]","Compressor frequency [Hz]","Pump flow rate [L/min]","Pump speed [r/min]","Pump duty [duty]","Fan motor speed 1 [r/min]","Fan motor speed 2 [r/min]","2 Zone mixing valve 1 opening [sec]","2 Zone mixing valve 2 opening [sec]","Heat mode energy consumption [kW]","Heat mode energy generation [kW]","Cool mode energy consumption [kW]","Cool mode energy generation [kW]","Tank mode energy consumption [kW]","Tank mode energy generation [kW]"
"07.Oct.2018 22:34:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","35.0","0","54","6","35.75","35.75","-78","-78","38","44","-78","-78","-78","38","35","17","27","32","5","8","10","10","11","8.6","0.0","0.0","0","14.45","1500","80","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 22:39:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","35.0","0","55","6","35.25","35.25","-78","-78","38","44","-78","-78","-78","38","35","16","27","32","5","8","10","9","10","9.0","0.0","0.0","0","14.45","1550","80","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 22:44:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","35.0","0","56","6","35.25","35.25","-78","-78","38","44","-78","-78","-78","38","35","16","27","32","5","8","9","9","10","9.0","0.0","0.0","0","14.45","1550","80","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 22:49:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","35.0","0","56","6","35.0","35.0","-78","-78","38","44","-78","-78","-78","38","35","16","27","32","5","8","9","9","10","8.6","0.0","0.0","0","14.45","1550","80","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 22:54:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","35.0","0","57","6","35.0","35.0","-78","-78","38","44","-78","-78","-78","38","35","16","27","32","5","7","9","9","10","8.6","0.0","0.0","0","14.09","1550","80","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 22:59:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","35.0","0","58","6","35.0","35.0","-78","-78","38","44","-78","-78","-78","38","35","14","27","32","5","7","9","9","10","9.0","0.0","0.0","0","14.45","1500","80","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:04:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","36.0","0","59","6","34.5","36.25","-78","-78","38","44","-78","-78","-78","38","36","35","27","37","3","-6","4","9","14","22.400000000000002","0.0","2.8000000000000003","34","14.45","1550","80","490","530","0","0","1.8","1.6","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:09:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","60","5","35.0","39.5","-78","-78","38","45","-78","-78","-78","38","39","48","27","40","1","6","2","14","18","24.200000000000003","0.0","3.2","37","25.91","2600","108","500","540","0","0","2.2","8.4","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:14:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","60","5","35.75","39.25","-78","-78","38","45","-78","-78","-78","38","39","49","27","40","2","6","3","16","20","23.8","0.0","2.6","31","25.91","2650","108","490","530","0","0","1.8","6.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:19:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","62","5","36.25","39.25","-78","-78","38","45","-78","-78","-78","38","39","49","27","40","2","5","3","16","20","23.8","0.0","2.4000000000000004","27","24.84","2550","105","380","420","0","0","1.4000000000000001","5.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:24:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","63","5","36.25","39.25","-78","-78","38","45","-78","-78","-78","38","39","49","27","40","2","5","3","16","21","23.6","0.0","2.0","24","24.48","2500","104","380","410","0","0","1.2000000000000002","5.0","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:29:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","63","5","36.5","39.25","-78","-78","38","45","-78","-78","-78","38","39","48","27","39","2","5","3","16","21","23.6","0.0","1.8","21","24.12","2450","101","370","410","0","0","1.2000000000000002","4.2","0.0","0.0","0.0","0.0"
"07.Oct.2018 23:34:01","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","64","5","37.0","39.5","-78","-78","38","45","-78","-78","-78","38","39","47","27","40","2","5","3","16","21","23.6","0.0","1.8","22","23.05","2350","99","360","410","0","0","1.0","4.0","0.0","0.0","0.0","0.0"
