"Timestamp","Operation [1:Off, 2:On]","Dry concrete [1:Off, 2:On]","Mode [1:Tank only, 2:Heat, 3:Cool, 8:Auto, 9:Auto(Heat), 10:Auto(Cool)]","Tank [1:Off, 2:On]","Zone1-Zone2 On-Off [1:On-Off, 2:Off-On, 3:On-On]","SHP control [1:Disable, 2:Enable]","SHP flow control (forbid ΔT) [1:Disable, 2:Enable]","Zone1: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone1: (water shift/water/room) set temperature for cool mode [°C]","Zone2: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone2: (water shift/water/room) set temperature for cool  mode [°C]","Tank water set temperature [°C]","Co-efficient frequency control [%]","Current Lv [Lv]","External SW [1:Close, 2:Open]","Heat-Cool SW [1:Heat, 2:Cool]","Powerful (Actual) [1:Off, 2:On]","Quiet (Actual) [1:Off, 2:On]","3-way valve [1:Room, 2:Tank]","Defrost (Actual) [1:Off, 2:On]","Room heater (Actual) [1:Off, 2:On]","Tank heater (Actual) [1:Off, 2:On]","Solar (Actual) [1:Off, 2:On]","Bivalent (Actual) [1:Off, 2:On]","Current error status [0:No error pop up screen in RC LCD, 1:Error pop up screen in RC LCD]","Backup heater 1 status (Actual) [1:Off, 2:On]","Backup heater 2 status (Actual) [1:Off, 2:On]","Backup heater 3 status (Actual) [1:Off, 2:On]","2 Zone pump 1 status (Actual) [1:Off, 2:On]","2 Zone pump 2 status (Actual) [1:Off, 2:On]","Sterilization status (Actual) [1:Off, 2:On]","Zone1: Actual (water outlet/room/pool) temperature [°C]","Zone2: Actual (water outlet/room/pool) temperature [°C]","Actual tank temperature [°C]","Actual outdoor temperature [°C]","Inlet water temperature [°C]","Outlet water temperature [°C]","Zone1: Water temperature [°C]","Zone2: Water temperature [°C]","Zone1: Water temperature (Target) [°C]","Zone2: Water temperature (Target) [°C]","Buffer tank: Water temperature [°C]","Solar: Water temperature [°C]","Pool: Water temperature [°C]","Outlet water temperature (Target) [°C]","Outlet 2 temperature [°C]","Discharge temperature [°C]","Room thermostat internal sensor temperature [°C]","Indoor piping temperature [°C]","Outdoor piping temperature [°C]","Defrost temperature [°C]","EVA outlet temperature [°C]","Bypass outlet temperature [°C]","IPM temperature [°C]","High pressure [kgf/cm2]","Low pressure [kgf/cm2]","Outdoor current [A]","Compressor frequency [Hz]","Pump flow rate [L/min]","Pump speed [r/min]","Pump duty [duty]","Fan motor speed 1 [r/min]","Fan motor speed 2 [r/min]","2 Zone mixing valve 1 opening [sec]","2 Zone mixing valve 2 opening [sec]","Heat mode energy consumption [kW]","Heat mode energy generation [kW]","Cool mode energy consumption [kW]","Cool mode energy generation [kW]","Tank mode energy consumption [kW]","Tank mode energy generation [kW]"
"04.Nov.2018 22:19:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","50","4","33.75","38.25","-78","-78","37","46","-78","-78","-78","37","38","55","25","39","0","2","1","16","21","23.400000000000002","0.0","3.8000000000000003","44","25.91","2650","109","510","560","0","0","2.4000000000000004","8.200000000000001","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:24:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","50","4","34.25","38.25","-78","-78","37","46","-78","-78","-78","37","38","54","25","39","0","1","1","8","21","23.400000000000002","0.0","3.4000000000000004","39","25.91","2650","109","510","550","0","0","2.2","7.4","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:29:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","37.0","0","50","4","34.5","37.75","-78","-78","37","46","-78","-78","-78","37","38","53","25","38","0","2","1","17","21","23.200000000000003","0.0","3.0","35","25.91","2650","109","490","530","0","0","2.0","6.0","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:34:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","50","4","34.5","38.25","-78","-78","37","46","-78","-78","-78","37","38","52","26","39","0","1","1","1","20","23.400000000000002","0.0","3.0","36","24.84","2550","106","500","540","0","0","2.0","6.4","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:39:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","49","4","35.0","38.75","-78","-78","37","46","-78","-78","-78","37","38","53","26","39","0","1","1","4","20","23.400000000000002","0.0","3.0","36","24.48","2500","105","500","540","0","0","2.0","6.4","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:44:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","37.0","0","49","4","35.0","37.75","-78","-78","37","46","-78","-78","-78","37","37","52","26","38","0","1","1","12","20","22.8","0.0","2.6","30","23.76","2450","104","490","530","0","0","1.6","4.800000000000001","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:49:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","49","4","35.0","38.25","-78","-78","38","47","-78","-78","-78","38","38","49","26","39","0","1","1","1","20","23.200000000000003","0.0","2.6","30","23.76","2400","101","490","530","0","0","1.6","5.4","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:54:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","38.0","0","49","3","35.0","38.75","-78","-78","38","47","-78","-78","-78","38","38","51","26","39","0","1","1","9","20","23.400000000000002","0.0","2.6","30","22.69","2350","100","490","530","0","0","1.8","5.800000000000001","0.0","0.0","0.0","0.0"
"04.Nov.2018 22:59:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","49","3","35.25","39.25","-78","-78","38","47","-78","-78","-78","38","39","50","26","40","0","0","1","1","20","23.8","0.0","2.8000000000000003","31","21.61","2250","98","490","520","0","0","1.8","5.6000000000000005","0.0","0.0","0.0","0.0"
"04.Nov.2018 23:04:55","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","39.0","0","49","3","35.25","39.5","-78","-78","38","47","-78","-78","-78","38","39","52","26","40","0","1","1","3","20","23.8","0.0","2.8000000000000003","30","20.54","2100","94","490","530","0","0","1.8","6.0","0.0","0.0","0.0","0.0"
