Grupp;"Ajatempel (UTC)";Hind
fi;1535749200;56,88
fi;1535752800;57,58
fi;1535756400;55,99
fi;1535760000;55,32
fi;1535763600;54,26
fi;1535767200;53,99
fi;1535770800;54,08
fi;1535774400;55,69
fi;1535778000;57,2
fi;1535781600;60,91
fi;1535785200;64,9
fi;1535788800;64,68
fi;1535792400;64,86
fi;1535796000;61,98
fi;1535799600;57,72
fi;1535803200;57,15
fi;1535806800;56,93
fi;1535810400;57,43
fi;1535814000;61
fi;1535817600;64,99
fi;1535821200;64,91
fi;1535824800;66,88
fi;1535828400;62,37
fi;1535832000;57,24
fi;1535835600;55,41
fi;1535839200;56,14
fi;1535842800;55,01
fi;1535846400;54,07
fi;1535850000;53,74
fi;1535853600;53,78
fi;1535857200;53,77
fi;1535860800;54,07
fi;1535864400;54,8
fi;1535868000;56,23
fi;1535871600;58,05
fi;1535875200;58,34
fi;1535878800;58,13
fi;1535882400;57,88
fi;1535886000;56,48
fi;1535889600;55,89
fi;1535893200;55,86
fi;1535896800;56,69
fi;1535900400;57,62
fi;1535904000;59,22
fi;1535907600;61,81
fi;1535911200;62,77
fi;1535914800;59,65
fi;1535918400;56,04
fi;1535922000;53,86
fi;1535925600;53,29
fi;1535929200;52,94
fi;1535932800;52,53
fi;1535936400;52,23
fi;1535940000;52,35
fi;1535943600;56,11
fi;1535947200;60,25
fi;1535950800;69,05
fi;1535954400;71,79
fi;1535958000;72,02
fi;1535961600;71,75
fi;1535965200;71,83
fi;1535968800;71,12
fi;1535972400;68,63
fi;1535976000;67,05
fi;1535979600;64,97
fi;1535983200;66,96
fi;1535986800;65,99
fi;1535990400;67,01
fi;1535994000;67,24
fi;1535997600;65,94
fi;1536001200;61,06
fi;1536004800;57,04
fi;1536008400;53,8
fi;1536012000;54,77
fi;1536015600;54,09
fi;1536019200;53,29
fi;1536022800;52,94
fi;1536026400;53,2
fi;1536030000;56,3
fi;1536033600;64,67
fi;1536037200;70,2
fi;1536040800;74,47
fi;1536044400;74,02
fi;1536048000;73,92
fi;1536051600;73,46
fi;1536055200;71,06
fi;1536058800;69,02
fi;1536062400;68,81
fi;1536066000;68,55
fi;1536069600;70,01
fi;1536073200;69,97
fi;1536076800;69,99
fi;1536080400;71,45
fi;1536084000;73,05
fi;1536087600;65,2
fi;1536091200;60,89
fi;1536094800;57,06
fi;1536098400;55,72
fi;1536102000;54,47
fi;1536105600;53,56
fi;1536109200;53,38
fi;1536112800;54,04
fi;1536116400;57
fi;1536120000;65,87
fi;1536123600;69,96
fi;1536127200;74
fi;1536130800;73,54
fi;1536134400;71,96
fi;1536138000;70,97
fi;1536141600;66,91
fi;1536145200;64,74
fi;1536148800;64,55
fi;1536152400;67
fi;1536156000;69,55
fi;1536159600;70,82
fi;1536163200;69,46
fi;1536166800;71,99
fi;1536170400;70,02
fi;1536174000;63,9
fi;1536177600;60,32
fi;1536181200;57,43
fi;1536184800;55,11
fi;1536188400;53,87
fi;1536192000;53,11
fi;1536195600;52,99
fi;1536199200;53,66
fi;1536202800;55,99
fi;1536206400;65,03
fi;1536210000;72,01
fi;1536213600;74,95
fi;1536217200;73,78
fi;1536220800;70,07
fi;1536224400;68,91
fi;1536228000;66,88
fi;1536231600;64,8
fi;1536235200;68,36
fi;1536238800;67,84
fi;1536242400;69,38
fi;1536246000;69,98
fi;1536249600;68,95
fi;1536253200;69,45
fi;1536256800;64,6
fi;1536260400;62,12
fi;1536264000;57,51
fi;1536267600;54,65
fi;1536271200;54,57
fi;1536274800;53,69
fi;1536278400;53,38
fi;1536282000;53,37
fi;1536285600;53,66
fi;1536289200;55,37
fi;1536292800;60,78
fi;1536296400;66,09
fi;1536300000;73,76
fi;1536303600;72,42
fi;1536307200;70,94
fi;1536310800;69,59
fi;1536314400;64,05
fi;1536318000;58,92
fi;1536321600;57,16
fi;1536325200;56,5
fi;1536328800;57,41
fi;1536332400;59,07
fi;1536336000;60,79
fi;1536339600;59,88
fi;1536343200;58,83
fi;1536346800;57,91
fi;1536350400;55,46
fi;1536354000;53,34
fi;1536357600;53,97
fi;1536361200;53,64
fi;1536364800;52,76
fi;1536368400;50,99
fi;1536372000;50,39
fi;1536375600;51,02
fi;1536379200;52,08
fi;1536382800;53,47
fi;1536386400;55,7
fi;1536390000;55,66
fi;1536393600;56,45
fi;1536397200;56,22
fi;1536400800;54,91
fi;1536404400;54,57
fi;1536408000;54,28
fi;1536411600;54,27
fi;1536415200;54,5
fi;1536418800;55,68
fi;1536422400;57,26
fi;1536426000;57,87
fi;1536429600;57,57
fi;1536433200;56,8
fi;1536436800;55,39
fi;1536440400;53,65
fi;1536444000;53,57
fi;1536447600;51,22
fi;1536451200;50,63
fi;1536454800;50,6
fi;1536458400;50,62
fi;1536462000;50,48
fi;1536465600;50,55
fi;1536469200;51,74
fi;1536472800;52,96
fi;1536476400;54,22
fi;1536480000;55,51
fi;1536483600;55,33
fi;1536487200;55,03
fi;1536490800;54,6
fi;1536494400;54,23
fi;1536498000;54,01
fi;1536501600;54,14
fi;1536505200;55,75
fi;1536508800;57,3
fi;1536512400;58,55
fi;1536516000;58,48
fi;1536519600;57,74
fi;1536523200;55,82
fi;1536526800;53,11
fi;1536530400;53,47
fi;1536534000;50,9
fi;1536537600;49,52
fi;1536541200;48,06
fi;1536544800;49,1
fi;1536548400;54,01
fi;1536552000;56,84
fi;1536555600;59,6
fi;1536559200;59,3
fi;1536562800;59,31
fi;1536566400;59,91
fi;1536570000;59,65
fi;1536573600;58,47
fi;1536577200;56,82
fi;1536580800;57,13
fi;1536584400;56,86
fi;1536588000;58,92
fi;1536591600;57,45
fi;1536595200;59,2
fi;1536598800;59,58
fi;1536602400;57,11
fi;1536606000;56,36
fi;1536609600;55,33
fi;1536613200;54,13
fi;1536616800;53,4
fi;1536620400;51,28
fi;1536624000;48,59
fi;1536627600;46,9
fi;1536631200;48,06
fi;1536634800;52,65
fi;1536638400;57,03
