Grupp;"Ajatempel (UTC)";Hind
fi;1538341200;41,14
fi;1538344800;42,32
fi;1538348400;42,35
fi;1538352000;42,4
fi;1538355600;42,61
fi;1538359200;42,98
fi;1538362800;44,29
fi;1538366400;45,96
fi;1538370000;48,71
fi;1538373600;51,2
fi;1538377200;51,92
fi;1538380800;53,36
fi;1538384400;54,76
fi;1538388000;54,02
fi;1538391600;51,98
fi;1538395200;49,98
fi;1538398800;49,98
fi;1538402400;49,04
fi;1538406000;49,99
fi;1538409600;51,92
fi;1538413200;53,3
fi;1538416800;47,01
fi;1538420400;46,66
fi;1538424000;44,93
fi;1538427600;42,5
fi;1538431200;45,1
fi;1538434800;44,1
fi;1538438400;44,06
fi;1538442000;43,77
fi;1538445600;44,29
fi;1538449200;48,13
fi;1538452800;57,7
fi;1538456400;68,21
fi;1538460000;70,36
fi;1538463600;55,56
fi;1538467200;55,95
fi;1538470800;55,94
fi;1538474400;53,51
fi;1538478000;52,89
fi;1538481600;51,95
fi;1538485200;51,95
fi;1538488800;51,93
fi;1538492400;51,95
fi;1538496000;58,14
fi;1538499600;58,88
fi;1538503200;46,26
fi;1538506800;44,85
fi;1538510400;42,69
fi;1538514000;42,6
fi;1538517600;40,69
fi;1538521200;38,07
fi;1538524800;36,42
fi;1538528400;39,14
fi;1538532000;39,65
fi;1538535600;41,34
fi;1538539200;51,92
fi;1538542800;53,86
fi;1538546400;57,99
fi;1538550000;61,06
fi;1538553600;61,21
fi;1538557200;63,08
fi;1538560800;61,09
fi;1538564400;53,87
fi;1538568000;52,96
fi;1538571600;51,95
fi;1538575200;52,1
fi;1538578800;51,97
fi;1538582400;58,37
fi;1538586000;58
fi;1538589600;51,95
fi;1538593200;47,75
fi;1538596800;46,1
fi;1538600400;44,16
fi;1538604000;46,25
fi;1538607600;44,99
fi;1538611200;44,51
fi;1538614800;45,74
fi;1538618400;46,01
fi;1538622000;49,66
fi;1538625600;61,71
fi;1538629200;73,8
fi;1538632800;81
fi;1538636400;81,58
fi;1538640000;78,96
fi;1538643600;75,34
fi;1538647200;63,05
fi;1538650800;55,93
fi;1538654400;54,4
fi;1538658000;57,61
fi;1538661600;62,82
fi;1538665200;60,46
fi;1538668800;73,01
fi;1538672400;68,57
fi;1538676000;50,85
fi;1538679600;48,04
fi;1538683200;46,65
fi;1538686800;43,67
fi;1538690400;45,26
fi;1538694000;42,47
fi;1538697600;40,64
fi;1538701200;41,06
fi;1538704800;42,45
fi;1538708400;46,07
fi;1538712000;48,64
fi;1538715600;51,13
fi;1538719200;52,48
fi;1538722800;52,49
fi;1538726400;52,88
fi;1538730000;51,32
fi;1538733600;51,95
fi;1538737200;50,96
fi;1538740800;48,24
fi;1538744400;48,5
fi;1538748000;49,73
fi;1538751600;50,22
fi;1538755200;53,81
fi;1538758800;53,04
fi;1538762400;48,08
fi;1538766000;47,63
fi;1538769600;46,48
fi;1538773200;44,41
fi;1538776800;44,89
fi;1538780400;43,47
fi;1538784000;43,39
fi;1538787600;43,35
fi;1538791200;43,85
fi;1538794800;44,26
fi;1538798400;44,4
fi;1538802000;45,99
fi;1538805600;47,21
fi;1538809200;47,86
fi;1538812800;48,05
fi;1538816400;48,01
fi;1538820000;48,04
fi;1538823600;48,25
fi;1538827200;48,43
fi;1538830800;48,18
fi;1538834400;48,36
fi;1538838000;48,98
fi;1538841600;50,22
fi;1538845200;49,81
fi;1538848800;48,21
fi;1538852400;47,92
fi;1538856000;47,13
fi;1538859600;45,34
fi;1538863200;46,95
fi;1538866800;45,5
fi;1538870400;44,65
fi;1538874000;43,02
fi;1538877600;42,5
fi;1538881200;43,8
fi;1538884800;44,6
fi;1538888400;46,56
fi;1538892000;49,49
fi;1538895600;51,95
fi;1538899200;53,77
fi;1538902800;53,71
fi;1538906400;52,77
fi;1538910000;50,9
fi;1538913600;49,91
fi;1538917200;49,05
fi;1538920800;50,21
fi;1538924400;52,07
fi;1538928000;56,95
fi;1538931600;57,55
fi;1538935200;53,66
fi;1538938800;50,89
fi;1538942400;48,63
fi;1538946000;47,72
fi;1538949600;46,15
fi;1538953200;44,16
fi;1538956800;42,94
fi;1538960400;41,82
fi;1538964000;41,79
fi;1538967600;44,2
fi;1538971200;50,83
fi;1538974800;49,69
fi;1538978400;51,92
fi;1538982000;49,72
fi;1538985600;49,66
fi;1538989200;48,99
fi;1538992800;49
fi;1538996400;48,76
fi;1539000000;48,82
fi;1539003600;48,67
fi;1539007200;48,56
fi;1539010800;48,43
fi;1539014400;49,87
fi;1539018000;49,99
fi;1539021600;48,08
fi;1539025200;47,31
fi;1539028800;46,15
fi;1539032400;43,98
fi;1539036000;41,32
fi;1539039600;38,65
fi;1539043200;37,03
fi;1539046800;38,55
fi;1539050400;38,79
fi;1539054000;44,93
fi;1539057600;48,53
fi;1539061200;49,17
fi;1539064800;49,67
fi;1539068400;49,49
fi;1539072000;49,33
fi;1539075600;49,17
fi;1539079200;49,25
fi;1539082800;49,09
fi;1539086400;48,73
fi;1539090000;48,36
fi;1539093600;48,18
fi;1539097200;47,82
fi;1539100800;48,78
fi;1539104400;48,92
fi;1539108000;47,44
fi;1539111600;45,68
fi;1539115200;43,58
fi;1539118800;41,35
fi;1539122400;42,28
fi;1539126000;41,4
fi;1539129600;41,35
fi;1539133200;42,33
fi;1539136800;42,35
fi;1539140400;45,42
fi;1539144000;48,62
fi;1539147600;50,09
fi;1539151200;50,84
fi;1539154800;51,97
fi;1539158400;53,28
fi;1539162000;53,97
fi;1539165600;55,27
fi;1539169200;53,61
fi;1539172800;51,99
fi;1539176400;53,68
fi;1539180000;54,32
fi;1539183600;57,03
fi;1539187200;63,67
fi;1539190800;57,67
fi;1539194400;50,95
fi;1539198000;48,41
fi;1539201600;46,74
fi;1539205200;42,1
fi;1539208800;35,01
fi;1539212400;31,71
fi;1539216000;29,97
fi;1539219600;30,91
fi;1539223200;34,98
fi;1539226800;44,08
fi;1539230400;53,53
fi;1539234000;52
fi;1539237600;54,9
fi;1539241200;54,94
fi;1539244800;56,48
fi;1539248400;56,51
fi;1539252000;55,73
fi;1539255600;55,1
fi;1539259200;55,84
fi;1539262800;54,92
fi;1539266400;55,86
fi;1539270000;57,95
fi;1539273600;73,08
fi;1539277200;59,91
fi;1539280800;48,89
fi;1539284400;47,44
fi;1539288000;44,6
fi;1539291600;42,12
fi;1539295200;40,98
fi;1539298800;40,13
fi;1539302400;39,36
fi;1539306000;40,19
fi;1539309600;40,39
fi;1539313200;44,86
fi;1539316800;56,65
