Grupp;"Ajatempel (UTC)";Hind
fi;1554066000;36,61
fi;1554069600;31,06
fi;1554073200;29,96
fi;1554076800;31,07
fi;1554080400;31,84
fi;1554084000;32,4
fi;1554087600;37,61
fi;1554091200;43,43
fi;1554094800;55,58
fi;1554098400;53,56
fi;1554102000;45,95
fi;1554105600;44,62
fi;1554109200;41,61
fi;1554112800;41,1
fi;1554116400;38,98
fi;1554120000;37,2
fi;1554123600;36,93
fi;1554127200;37,79
fi;1554130800;38,43
fi;1554134400;40,62
fi;1554138000;41,35
fi;1554141600;41
fi;1554145200;39,41
fi;1554148800;35,8
fi;1554152400;31,8
fi;1554156000;29,11
fi;1554159600;26,93
fi;1554163200;25,43
fi;1554166800;25,46
fi;1554170400;27,88
fi;1554174000;34,73
fi;1554177600;39,63
fi;1554181200;42,18
fi;1554184800;42,16
fi;1554188400;40,5
fi;1554192000;39,4
fi;1554195600;38,69
fi;1554199200;38,28
fi;1554202800;37,39
fi;1554206400;35,05
fi;1554210000;34,68
fi;1554213600;34,82
fi;1554217200;36,78
fi;1554220800;39,03
fi;1554224400;39,57
fi;1554228000;38,58
fi;1554231600;36,4
fi;1554235200;31,38
fi;1554238800;27,69
fi;1554242400;31,9
fi;1554246000;31,5
fi;1554249600;31,08
fi;1554253200;31,19
fi;1554256800;32,57
fi;1554260400;36
fi;1554264000;41,17
fi;1554267600;44,8
fi;1554271200;48,44
fi;1554274800;46,47
fi;1554278400;46,16
fi;1554282000;44,58
fi;1554285600;42,4
fi;1554289200;41,73
fi;1554292800;40,77
fi;1554296400;40,48
fi;1554300000;40,73
fi;1554303600;41,08
fi;1554307200;41,26
fi;1554310800;41,39
fi;1554314400;40,89
fi;1554318000;39,91
fi;1554321600;35,89
fi;1554325200;34,95
fi;1554328800;32,63
fi;1554332400;32,31
fi;1554336000;32,21
fi;1554339600;31,81
fi;1554343200;34,13
fi;1554346800;36,86
fi;1554350400;40,54
fi;1554354000;44,96
fi;1554357600;49,07
fi;1554361200;45,8
fi;1554364800;43,78
fi;1554368400;41,93
fi;1554372000;40,75
fi;1554375600;40,33
fi;1554379200;38,73
fi;1554382800;38,37
fi;1554386400;39,03
fi;1554390000;39,86
fi;1554393600;42,92
fi;1554397200;44,91
fi;1554400800;40,29
fi;1554404400;39,66
fi;1554408000;37,57
fi;1554411600;35,92
fi;1554415200;35,36
fi;1554418800;35,47
fi;1554422400;34,49
fi;1554426000;34,59
fi;1554429600;37,06
fi;1554433200;39,18
fi;1554436800;46,97
fi;1554440400;50,04
fi;1554444000;51,06
fi;1554447600;50,07
fi;1554451200;50,04
fi;1554454800;50,02
fi;1554458400;48,63
fi;1554462000;46,94
fi;1554465600;39,09
fi;1554469200;38,84
fi;1554472800;44,98
fi;1554476400;44,95
fi;1554480000;45,78
fi;1554483600;47,33
fi;1554487200;40,21
fi;1554490800;40,63
fi;1554494400;39,48
fi;1554498000;38,65
fi;1554501600;37,96
fi;1554505200;37,93
fi;1554508800;37,39
fi;1554512400;36,1
fi;1554516000;36,13
fi;1554519600;37,27
fi;1554523200;38,06
fi;1554526800;38,82
fi;1554530400;40,35
fi;1554534000;41,3
fi;1554537600;41,17
fi;1554541200;40,25
fi;1554544800;38,75
fi;1554548400;36,97
fi;1554552000;35,94
fi;1554555600;35,97
fi;1554559200;37,43
fi;1554562800;38,36
fi;1554566400;40,29
fi;1554570000;40,9
fi;1554573600;41,07
fi;1554577200;39,99
fi;1554580800;39,21
fi;1554584400;36,32
fi;1554588000;38,61
fi;1554591600;38,51
fi;1554595200;38,05
fi;1554598800;38,03
fi;1554602400;38,64
fi;1554606000;38,66
fi;1554609600;38,32
fi;1554613200;39,43
fi;1554616800;40,51
fi;1554620400;40,66
fi;1554624000;39,66
fi;1554627600;39,54
fi;1554631200;39,19
fi;1554634800;38,88
fi;1554638400;38,56
fi;1554642000;38,35
fi;1554645600;38,29
fi;1554649200;38,16
fi;1554652800;40,88
fi;1554656400;42,22
fi;1554660000;42,35
fi;1554663600;41,02
fi;1554667200;40,06
fi;1554670800;39,46
fi;1554674400;37,57
fi;1554678000;36,79
fi;1554681600;35,85
fi;1554685200;35,59
fi;1554688800;37,2
fi;1554692400;40,6
fi;1554696000;42,59
fi;1554699600;44,43
fi;1554703200;44,84
fi;1554706800;44,49
fi;1554710400;44,17
fi;1554714000;42,98
fi;1554717600;42,35
fi;1554721200;41,85
fi;1554724800;40,42
fi;1554728400;40,17
fi;1554732000;40,76
fi;1554735600;41,81
fi;1554739200;43,1
fi;1554742800;43,95
fi;1554746400;43,25
fi;1554750000;42,38
fi;1554753600;41,01
fi;1554757200;38,36
fi;1554760800;33,24
fi;1554764400;34,1
fi;1554768000;34,74
fi;1554771600;34,86
fi;1554775200;34,91
fi;1554778800;40,79
fi;1554782400;44,15
fi;1554786000;47
fi;1554789600;49,8
fi;1554793200;47,03
fi;1554796800;45,61
fi;1554800400;44,4
fi;1554804000;43,15
fi;1554807600;42,29
fi;1554811200;40,9
fi;1554814800;40,68
fi;1554818400;41,48
fi;1554822000;42,06
fi;1554825600;43,53
fi;1554829200;45,05
fi;1554832800;44,47
fi;1554836400;42,7
fi;1554840000;42,07
fi;1554843600;40,06
fi;1554847200;37,51
fi;1554850800;37,18
fi;1554854400;36,54
fi;1554858000;35,78
fi;1554861600;39,88
fi;1554865200;42,26
fi;1554868800;44,37
fi;1554872400;48,79
fi;1554876000;55,95
fi;1554879600;49,38
fi;1554883200;46,15
fi;1554886800;44,5
fi;1554890400;43,88
fi;1554894000;43,53
fi;1554897600;42,41
fi;1554901200;42,43
fi;1554904800;43,46
fi;1554908400;44,01
fi;1554912000;45,09
fi;1554915600;47,2
fi;1554919200;45,84
fi;1554922800;44,26
fi;1554926400;43,65
fi;1554930000;42,01
fi;1554933600;42,47
fi;1554937200;41,94
fi;1554940800;41,9
fi;1554944400;41,96
fi;1554948000;42,3
fi;1554951600;43,92
fi;1554955200;47,91
fi;1554958800;56,4
fi;1554962400;60,7
fi;1554966000;52,97
fi;1554969600;49,75
fi;1554973200;49,1
fi;1554976800;49,93
fi;1554980400;48,87
fi;1554984000;45,96
fi;1554987600;45,28
fi;1554991200;47,03
fi;1554994800;46,27
fi;1554998400;47,69
fi;1555002000;54,02
fi;1555005600;52,99
fi;1555009200;47,96
fi;1555012800;47,2
fi;1555016400;45,11
fi;1555020000;44
fi;1555023600;43,68
fi;1555027200;43,59
fi;1555030800;43,7
fi;1555034400;44,19
fi;1555038000;45,92
