Grupp;"Ajatempel (UTC)";Hind
fi;1556658000;5,03
fi;1556661600;3,1
fi;1556665200;4,84
fi;1556668800;4,09
fi;1556672400;4,26
fi;1556676000;3,92
fi;1556679600;2,74
fi;1556683200;4
fi;1556686800;11,29
fi;1556690400;30,15
fi;1556694000;29,4
fi;1556697600;29,59
fi;1556701200;28,65
fi;1556704800;22,84
fi;1556708400;19,47
fi;1556712000;12,9
fi;1556715600;10,4
fi;1556719200;10,51
fi;1556722800;19,61
fi;1556726400;29,65
fi;1556730000;33,12
fi;1556733600;32,8
fi;1556737200;33,2
fi;1556740800;26,99
fi;1556744400;17,91
fi;1556748000;1,92
fi;1556751600;1,03
fi;1556755200;0,55
fi;1556758800;0,47
fi;1556762400;0,12
fi;1556766000;2,1
fi;1556769600;28,96
fi;1556773200;39,16
fi;1556776800;39,9
fi;1556780400;39,48
fi;1556784000;39,36
fi;1556787600;37,32
fi;1556791200;31,42
fi;1556794800;31,9
fi;1556798400;29,3
fi;1556802000;26,8
fi;1556805600;26,55
fi;1556809200;27,66
fi;1556812800;37,01
fi;1556816400;38,26
fi;1556820000;39,71
fi;1556823600;39,91
fi;1556827200;36,76
fi;1556830800;14,41
fi;1556834400;28,1
fi;1556838000;28,93
fi;1556841600;28,91
fi;1556845200;28,97
fi;1556848800;28,97
fi;1556852400;35,96
fi;1556856000;39,94
fi;1556859600;42,39
fi;1556863200;43,05
fi;1556866800;42,73
fi;1556870400;42,43
fi;1556874000;41,93
fi;1556877600;41,7
fi;1556881200;39,84
fi;1556884800;38,69
fi;1556888400;37,12
fi;1556892000;36,37
fi;1556895600;38,89
fi;1556899200;39,89
fi;1556902800;39,86
fi;1556906400;40,12
fi;1556910000;40,82
fi;1556913600;39,7
fi;1556917200;39,02
fi;1556920800;39,06
fi;1556924400;35,32
fi;1556928000;33,92
fi;1556931600;34,06
fi;1556935200;34,47
fi;1556938800;34,51
fi;1556942400;38,89
fi;1556946000;40,87
fi;1556949600;42,99
fi;1556953200;43,62
fi;1556956800;43,24
fi;1556960400;42,65
fi;1556964000;41,18
fi;1556967600;40,34
fi;1556971200;39,97
fi;1556974800;39,57
fi;1556978400;39,37
fi;1556982000;40,49
fi;1556985600;41,65
fi;1556989200;42,52
fi;1556992800;42,73
fi;1556996400;42,5
fi;1557000000;42,68
fi;1557003600;40,99
fi;1557007200;35,19
fi;1557010800;32,02
fi;1557014400;29,04
fi;1557018000;28,9
fi;1557021600;29,04
fi;1557025200;28,63
fi;1557028800;30,09
fi;1557032400;40,12
fi;1557036000;41,02
fi;1557039600;41,52
fi;1557043200;41,63
fi;1557046800;41,51
fi;1557050400;41,63
fi;1557054000;41,45
fi;1557057600;41,09
fi;1557061200;40,86
fi;1557064800;40,89
fi;1557068400;41,35
fi;1557072000;41,4
fi;1557075600;41,92
fi;1557079200;42,56
fi;1557082800;42,54
fi;1557086400;42,34
fi;1557090000;40,88
fi;1557093600;38,72
fi;1557097200;34,99
fi;1557100800;34,92
fi;1557104400;33,34
fi;1557108000;33,07
fi;1557111600;41,71
fi;1557115200;60,77
fi;1557118800;68,24
fi;1557122400;74,76
fi;1557126000;77,98
fi;1557129600;70,09
fi;1557133200;74,52
fi;1557136800;74,57
fi;1557140400;74,55
fi;1557144000;43,17
fi;1557147600;42,19
fi;1557151200;42,16
fi;1557154800;43,46
fi;1557158400;51,31
fi;1557162000;50,24
fi;1557165600;43,91
fi;1557169200;44,06
fi;1557172800;43,43
fi;1557176400;41,34
fi;1557180000;41,2
fi;1557183600;39,17
fi;1557187200;36,08
fi;1557190800;36,98
fi;1557194400;36,1
fi;1557198000;42,71
fi;1557201600;46,86
fi;1557205200;65,07
fi;1557208800;70,23
fi;1557212400;72,5
fi;1557216000;52,5
fi;1557219600;63,99
fi;1557223200;52,06
fi;1557226800;52,31
fi;1557230400;43,78
fi;1557234000;43,31
fi;1557237600;43,28
fi;1557241200;43,94
fi;1557244800;46,89
fi;1557248400;46,88
fi;1557252000;45,05
fi;1557255600;45,06
fi;1557259200;44
fi;1557262800;42,81
fi;1557266400;41,13
fi;1557270000;39,03
fi;1557273600;36,84
fi;1557277200;40,48
fi;1557280800;40,18
fi;1557284400;41,81
fi;1557288000;44,03
fi;1557291600;47,92
fi;1557295200;47,96
fi;1557298800;46,04
fi;1557302400;44,66
fi;1557306000;43,6
fi;1557309600;43,03
fi;1557313200;42,62
fi;1557316800;42,07
fi;1557320400;41,38
fi;1557324000;40,66
fi;1557327600;41,67
fi;1557331200;41,97
fi;1557334800;42,18
fi;1557338400;41,74
fi;1557342000;40,68
fi;1557345600;26,82
fi;1557349200;16,96
fi;1557352800;33,04
fi;1557356400;32,01
fi;1557360000;30,26
fi;1557363600;30,69
fi;1557367200;32,31
fi;1557370800;37,07
fi;1557374400;43,28
fi;1557378000;44,98
fi;1557381600;45,67
fi;1557385200;44,75
fi;1557388800;44,03
fi;1557392400;43,56
fi;1557396000;43,53
fi;1557399600;43,21
fi;1557403200;43,11
fi;1557406800;42,64
fi;1557410400;42,27
fi;1557414000;41,84
fi;1557417600;41,05
fi;1557421200;40,97
fi;1557424800;41,67
fi;1557428400;42,4
fi;1557432000;41,34
fi;1557435600;34,5
fi;1557439200;12,35
fi;1557442800;11,29
fi;1557446400;7,5
fi;1557450000;16,03
fi;1557453600;16,1
fi;1557457200;38,08
fi;1557460800;42,55
fi;1557464400;45,39
fi;1557468000;45,9
fi;1557471600;45,66
fi;1557475200;45,45
fi;1557478800;44,81
fi;1557482400;43,66
fi;1557486000;43,03
fi;1557489600;42,3
fi;1557493200;41,9
fi;1557496800;42,04
fi;1557500400;42,99
fi;1557504000;43,76
fi;1557507600;43,66
fi;1557511200;43,37
fi;1557514800;43,57
fi;1557518400;43,25
fi;1557522000;42,02
fi;1557525600;40,68
fi;1557529200;39,04
fi;1557532800;37,02
fi;1557536400;35,64
fi;1557540000;36,27
fi;1557543600;35,95
fi;1557547200;36,58
fi;1557550800;38,17
fi;1557554400;41,16
fi;1557558000;41,97
fi;1557561600;41
fi;1557565200;40,77
fi;1557568800;40,25
fi;1557572400;39,37
fi;1557576000;37,98
fi;1557579600;36,71
fi;1557583200;36,92
fi;1557586800;38,2
fi;1557590400;38,21
fi;1557594000;39,87
fi;1557597600;37,88
fi;1557601200;36,7
fi;1557604800;31,01
fi;1557608400;32,46
fi;1557612000;30
fi;1557615600;19,97
fi;1557619200;4,72
fi;1557622800;2,95
fi;1557626400;2,02
fi;1557630000;2,97
fi;1557633600;3,03
fi;1557637200;2,98
fi;1557640800;11,05
fi;1557644400;19,86
fi;1557648000;9,69
fi;1557651600;7,86
fi;1557655200;9,25
fi;1557658800;1,97
fi;1557662400;1,7
fi;1557666000;1,46
fi;1557669600;1,8
fi;1557673200;9,67
fi;1557676800;20,98
fi;1557680400;25,81
fi;1557684000;21,92
fi;1557687600;31,04
fi;1557691200;20,09
fi;1557694800;24,91
fi;1557698400;16,33
fi;1557702000;19,21
fi;1557705600;19,95
fi;1557709200;19,14
fi;1557712800;28,15
fi;1557716400;35,73
fi;1557720000;47,09
fi;1557723600;70,43
fi;1557727200;121,05
fi;1557730800;159,96
fi;1557734400;121,01
fi;1557738000;111,74
fi;1557741600;108,85
fi;1557745200;114,93
fi;1557748800;45,57
fi;1557752400;42,49
fi;1557756000;41,38
fi;1557759600;64,79
fi;1557763200;64,46
fi;1557766800;56,79
fi;1557770400;48,24
fi;1557774000;47,15
fi;1557777600;41,83
fi;1557781200;40,22
fi;1557784800;38,34
fi;1557788400;35,83
fi;1557792000;36,18
fi;1557795600;35,82
fi;1557799200;37,38
fi;1557802800;40,95
fi;1557806400;49,62
fi;1557810000;110,01
fi;1557813600;148,02
fi;1557817200;99,97
fi;1557820800;57,51
fi;1557824400;54,02
fi;1557828000;59,17
fi;1557831600;52,04
fi;1557835200;42,82
fi;1557838800;42,18
fi;1557842400;41,95
fi;1557846000;42,33
fi;1557849600;49,29
fi;1557853200;50,31
fi;1557856800;46,26
fi;1557860400;43,77
fi;1557864000;43,26
fi;1557867600;40,36
fi;1557871200;37,1
fi;1557874800;38,92
fi;1557878400;39,04
fi;1557882000;39,11
fi;1557885600;34,99
fi;1557889200;40,69
fi;1557892800;48,58
fi;1557896400;64,95
fi;1557900000;68,43
fi;1557903600;63,97
fi;1557907200;56,66
fi;1557910800;56,1
fi;1557914400;56,09
fi;1557918000;54,9
fi;1557921600;43,68
fi;1557925200;42,49
fi;1557928800;42,15
fi;1557932400;42,46
fi;1557936000;48,82
fi;1557939600;48,57
fi;1557943200;42,95
fi;1557946800;42,45
fi;1557950400;42,13
fi;1557954000;38,06
fi;1557957600;33,67
fi;1557961200;33,67
fi;1557964800;33,19
fi;1557968400;31,3
fi;1557972000;25,68
fi;1557975600;36,01
fi;1557979200;48,89
fi;1557982800;57,64
fi;1557986400;64,82
fi;1557990000;63,03
fi;1557993600;58,03
fi;1557997200;58
fi;1558000800;54,89
fi;1558004400;51,28
fi;1558008000;40,93
fi;1558011600;40,25
fi;1558015200;39,33
fi;1558018800;40,34
fi;1558022400;48,83
fi;1558026000;48,83
fi;1558029600;40,58
fi;1558033200;40,39
fi;1558036800;38,89
fi;1558040400;34,97
fi;1558044000;34,84
fi;1558047600;34,03
fi;1558051200;25,95
fi;1558054800;25,96
fi;1558058400;22,85
fi;1558062000;36,09
fi;1558065600;48,97
fi;1558069200;53,16
fi;1558072800;67,21
fi;1558076400;54,01
fi;1558080000;50,08
fi;1558083600;50,07
fi;1558087200;50,06
fi;1558090800;51,63
fi;1558094400;39,15
fi;1558098000;38,49
fi;1558101600;38,44
fi;1558105200;40,11
fi;1558108800;53,1
fi;1558112400;52,03
fi;1558116000;39,46
fi;1558119600;39,05
fi;1558123200;38,14
fi;1558126800;36,08
fi;1558130400;30,68
fi;1558134000;26,01
fi;1558137600;23,97
fi;1558141200;22,86
fi;1558144800;21,87
fi;1558148400;26,04
fi;1558152000;33,11
fi;1558155600;35,58
fi;1558159200;38,06
fi;1558162800;38,76
fi;1558166400;38,28
fi;1558170000;38,21
fi;1558173600;36,26
fi;1558177200;35,51
fi;1558180800;34,58
fi;1558184400;34,33
fi;1558188000;36,67
fi;1558191600;38,59
fi;1558195200;38,32
fi;1558198800;37,91
fi;1558202400;37,09
fi;1558206000;37,7
fi;1558209600;36,21
fi;1558213200;33,94
fi;1558216800;38,63
fi;1558220400;36,02
fi;1558224000;35
fi;1558227600;34,03
fi;1558231200;34,3
fi;1558234800;34,03
fi;1558238400;33,37
fi;1558242000;34,04
fi;1558245600;36,23
fi;1558249200;36,8
fi;1558252800;37,18
fi;1558256400;37,88
fi;1558260000;37,4
fi;1558263600;36,83
fi;1558267200;36,25
fi;1558270800;35,85
fi;1558274400;36,22
fi;1558278000;37,13
fi;1558281600;38,91
fi;1558285200;40,93
fi;1558288800;40,98
fi;1558292400;40,71
fi;1558296000;40,81
fi;1558299600;38,94
fi;1558303200;37,3
fi;1558306800;35
fi;1558310400;34,55
fi;1558314000;34,13
fi;1558317600;33,77
fi;1558321200;38,13
fi;1558324800;46,91
fi;1558328400;60,87
fi;1558332000;67,97
fi;1558335600;69,5
fi;1558339200;68,13
fi;1558342800;63,86
fi;1558346400;67,44
fi;1558350000;64,35
fi;1558353600;44,75
fi;1558357200;43,59
fi;1558360800;43,27
fi;1558364400;43,93
fi;1558368000;48,59
fi;1558371600;49,39
fi;1558375200;43,12
fi;1558378800;42,96
fi;1558382400;42,67
fi;1558386000;38,59
fi;1558389600;35,2
fi;1558393200;34,44
fi;1558396800;33,12
fi;1558400400;31,49
fi;1558404000;32,37
fi;1558407600;35,38
fi;1558411200;44,54
fi;1558414800;67,02
fi;1558418400;79,42
fi;1558422000;82,71
fi;1558425600;81,41
fi;1558429200;76,5
fi;1558432800;81,4
fi;1558436400;76,86
fi;1558440000;43,23
fi;1558443600;42,5
fi;1558447200;41,86
fi;1558450800;42,56
fi;1558454400;45,61
fi;1558458000;43,01
fi;1558461600;41,97
fi;1558465200;41,43
fi;1558468800;40,16
fi;1558472400;36,35
fi;1558476000;32,66
fi;1558479600;32,5
fi;1558483200;29,66
fi;1558486800;29
fi;1558490400;29,61
fi;1558494000;35,1
fi;1558497600;53,51
fi;1558501200;199,91
fi;1558504800;121,03
fi;1558508400;118,97
fi;1558512000;95,86
fi;1558515600;79,65
fi;1558519200;78,86
fi;1558522800;84,85
fi;1558526400;39,93
fi;1558530000;38,65
fi;1558533600;38,69
fi;1558537200;40,03
fi;1558540800;43,35
fi;1558544400;42,31
fi;1558548000;41,75
fi;1558551600;41,53
fi;1558555200;40,78
fi;1558558800;38,62
fi;1558562400;34,94
fi;1558566000;32,52
fi;1558569600;31,59
fi;1558573200;31,08
fi;1558576800;31,74
fi;1558580400;35,72
fi;1558584000;40,8
fi;1558587600;58,4
fi;1558591200;63,66
fi;1558594800;66,35
fi;1558598400;65,01
fi;1558602000;63,85
fi;1558605600;66,1
fi;1558609200;63,49
fi;1558612800;48,53
fi;1558616400;39,01
fi;1558620000;39,23
fi;1558623600;48,08
fi;1558627200;58,54
fi;1558630800;59,6
fi;1558634400;41,57
fi;1558638000;41,89
fi;1558641600;41,31
fi;1558645200;40,29
fi;1558648800;37,54
fi;1558652400;35,14
fi;1558656000;34,28
fi;1558659600;34,1
fi;1558663200;33,95
fi;1558666800;35,99
fi;1558670400;52,09
fi;1558674000;63,55
fi;1558677600;73,45
fi;1558681200;77,36
fi;1558684800;76,53
fi;1558688400;77,76
fi;1558692000;77,72
fi;1558695600;101,91
fi;1558699200;41,13
fi;1558702800;36,29
fi;1558706400;36,72
fi;1558710000;46,89
fi;1558713600;52,07
fi;1558717200;52,04
fi;1558720800;39,82
fi;1558724400;39,47
fi;1558728000;38,86
fi;1558731600;37,95
fi;1558735200;38,1
fi;1558738800;36,26
fi;1558742400;35,07
fi;1558746000;34,03
fi;1558749600;33,84
fi;1558753200;33,09
fi;1558756800;34,05
fi;1558760400;35,11
fi;1558764000;37,28
fi;1558767600;37,5
fi;1558771200;36,37
fi;1558774800;35,9
fi;1558778400;35,37
fi;1558782000;34,18
fi;1558785600;33,09
fi;1558789200;32,39
fi;1558792800;33,14
fi;1558796400;35,11
fi;1558800000;36,56
fi;1558803600;37,8
fi;1558807200;36,99
fi;1558810800;36,82
fi;1558814400;36,53
fi;1558818000;35,61
fi;1558821600;35,53
fi;1558825200;32,75
fi;1558828800;29,44
fi;1558832400;28,59
fi;1558836000;23,06
fi;1558839600;18,4
fi;1558843200;14,63
fi;1558846800;18,91
fi;1558850400;24,58
fi;1558854000;37,89
fi;1558857600;38,67
fi;1558861200;40,28
fi;1558864800;40,1
fi;1558868400;35,04
fi;1558872000;28,92
fi;1558875600;26,92
fi;1558879200;33
fi;1558882800;35,03
fi;1558886400;35,42
fi;1558890000;36,63
fi;1558893600;37,16
fi;1558897200;36,59
fi;1558900800;36,37
fi;1558904400;33,53
fi;1558908000;18,67
fi;1558911600;12,86
fi;1558915200;12,2
fi;1558918800;14,09
fi;1558922400;19,18
fi;1558926000;29,46
fi;1558929600;47,87
fi;1558933200;54,24
fi;1558936800;75,16
fi;1558940400;79,31
fi;1558944000;70,05
fi;1558947600;75,01
fi;1558951200;59,91
fi;1558954800;59,81
fi;1558958400;47,65
fi;1558962000;44,68
fi;1558965600;41,75
fi;1558969200;55,02
