Grupp;"Ajatempel (UTC)";Hind
fi;1562882400;36,95
fi;1562886000;36,68
fi;1562889600;36,19
fi;1562893200;36,01
fi;1562896800;35,54
fi;1562900400;36,05
fi;1562904000;44,6
fi;1562907600;54,47
fi;1562911200;54,78
fi;1562914800;52,88
fi;1562918400;49,89
fi;1562922000;51,22
fi;1562925600;50,35
fi;1562929200;49
fi;1562932800;47,17
fi;1562936400;45,91
fi;1562940000;50,06
fi;1562943600;49,44
fi;1562947200;50,04
fi;1562950800;48,28
fi;1562954400;37,68
fi;1562958000;36,7
fi;1562961600;36,26
fi;1562965200;35,64
fi;1562968800;37,65
fi;1562972400;37,15
fi;1562976000;36,48
fi;1562979600;36,12
fi;1562983200;36,13
fi;1562986800;35,36
fi;1562990400;36,07
fi;1562994000;36,58
fi;1562997600;39,82
fi;1563001200;39,08
fi;1563004800;38,91
fi;1563008400;37,94
fi;1563012000;37,95
fi;1563015600;35,7
fi;1563019200;37,13
fi;1563022800;39,06
fi;1563026400;37,9
fi;1563030000;40,06
fi;1563033600;42,87
fi;1563037200;43,21
fi;1563040800;36,92
fi;1563044400;36,82
fi;1563048000;37,28
fi;1563051600;36,95
fi;1563055200;35,85
fi;1563058800;35,04
fi;1563062400;34,05
fi;1563066000;33,77
fi;1563069600;33,21
fi;1563073200;33,2
fi;1563076800;33,87
fi;1563080400;34,76
fi;1563084000;36,33
fi;1563087600;36,92
fi;1563091200;37,44
fi;1563094800;37,94
fi;1563098400;37,23
fi;1563102000;36,13
fi;1563105600;35,36
fi;1563109200;35,27
fi;1563112800;35,31
fi;1563116400;36,58
fi;1563120000;37,84
fi;1563123600;38,29
fi;1563127200;38,95
fi;1563130800;38,45
fi;1563134400;38,61
fi;1563138000;37,42
fi;1563141600;36,97
fi;1563145200;36,58
fi;1563148800;36,45
fi;1563152400;35,16
fi;1563156000;34,93
fi;1563159600;36,84
fi;1563163200;50,85
fi;1563166800;60,73
fi;1563170400;64,23
fi;1563174000;70,07
fi;1563177600;71,15
fi;1563181200;71,11
fi;1563184800;71,42
fi;1563188400;60,09
fi;1563192000;60,1
fi;1563195600;65
fi;1563199200;69,29
fi;1563202800;62,59
fi;1563206400;60,52
fi;1563210000;60,02
fi;1563213600;46,28
fi;1563217200;51,33
fi;1563220800;46,07
fi;1563224400;37,24
fi;1563228000;36,82
fi;1563231600;36,27
fi;1563235200;34,93
fi;1563238800;33,89
fi;1563242400;33,13
fi;1563246000;38,1
fi;1563249600;45,9
fi;1563253200;48,25
fi;1563256800;49,16
fi;1563260400;49,94
fi;1563264000;50,34
fi;1563267600;50,56
fi;1563271200;50,59
fi;1563274800;49,96
fi;1563278400;49,92
fi;1563282000;49,98
fi;1563285600;49,98
fi;1563289200;49,97
fi;1563292800;54,49
fi;1563296400;54,98
fi;1563300000;48,25
fi;1563303600;49,97
fi;1563307200;48,76
fi;1563310800;38,58
fi;1563314400;38,74
fi;1563318000;37,94
fi;1563321600;37,68
fi;1563325200;37,28
fi;1563328800;37,6
fi;1563332400;40,31
fi;1563336000;49,38
fi;1563339600;58,48
fi;1563343200;57,36
fi;1563346800;56,85
fi;1563350400;59,34
fi;1563354000;59,81
fi;1563357600;59,03
fi;1563361200;55,32
fi;1563364800;58,24
fi;1563368400;59,75
fi;1563372000;61,04
fi;1563375600;56,76
fi;1563379200;60,77
fi;1563382800;59,78
fi;1563386400;51,39
fi;1563390000;55,31
fi;1563393600;54,93
fi;1563397200;39,62
fi;1563400800;44,86
fi;1563404400;38,43
fi;1563408000;37,82
fi;1563411600;37,71
fi;1563415200;37,49
fi;1563418800;48,32
fi;1563422400;60,92
fi;1563426000;62,65
fi;1563429600;64,99
fi;1563433200;67,77
fi;1563436800;71,67
fi;1563440400;71,55
fi;1563444000;67,51
fi;1563447600;65,85
fi;1563451200;63,82
fi;1563454800;63,94
fi;1563458400;64,92
fi;1563462000;62,78
fi;1563465600;61,91
fi;1563469200;62,44
fi;1563472800;54,28
fi;1563476400;49,95
fi;1563480000;54,05
fi;1563483600;41,9
fi;1563487200;43,9
fi;1563490800;37,06
fi;1563494400;37
fi;1563498000;36,66
fi;1563501600;36,68
fi;1563505200;45,49
fi;1563508800;53,3
fi;1563512400;61,09
fi;1563516000;63,45
fi;1563519600;64,95
fi;1563523200;66,52
fi;1563526800;64,98
fi;1563530400;67,44
fi;1563534000;62,04
fi;1563537600;61,99
fi;1563541200;64,8
fi;1563544800;61,19
fi;1563548400;62,04
fi;1563552000;63,62
fi;1563555600;62,55
fi;1563559200;49,74
fi;1563562800;50,38
fi;1563566400;45,37
fi;1563570000;38,43
fi;1563573600;39,35
fi;1563577200;38,08
fi;1563580800;36,81
fi;1563584400;35,61
fi;1563588000;34,36
fi;1563591600;34,03
fi;1563595200;35
fi;1563598800;35,9
fi;1563602400;47,17
fi;1563606000;46,34
fi;1563609600;50,07
fi;1563613200;51,97
fi;1563616800;49,96
fi;1563620400;49,93
fi;1563624000;49,93
fi;1563627600;49,96
fi;1563631200;49,97
fi;1563634800;51
fi;1563638400;51,46
fi;1563642000;53,13
fi;1563645600;50,57
fi;1563649200;46,14
fi;1563652800;43,03
fi;1563656400;37,29
fi;1563660000;35,35
fi;1563663600;33,47
fi;1563667200;33,03
fi;1563670800;31,27
fi;1563674400;30,99
fi;1563678000;31,55
fi;1563681600;33,35
fi;1563685200;35,13
fi;1563688800;42,02
fi;1563692400;44,87
fi;1563696000;47,85
fi;1563699600;47,82
fi;1563703200;48,62
fi;1563706800;47,26
fi;1563710400;46,22
fi;1563714000;44,83
fi;1563717600;44,99
fi;1563721200;44,9
fi;1563724800;44,82
fi;1563728400;46,78
fi;1563732000;44,87
fi;1563735600;44,48
fi;1563739200;40,88
fi;1563742800;38,21
fi;1563746400;37,47
fi;1563750000;35,11
fi;1563753600;34,23
fi;1563757200;34,22
fi;1563760800;34,16
fi;1563764400;36,18
fi;1563768000;55,68
fi;1563771600;59,62
fi;1563775200;67,29
fi;1563778800;67,28
fi;1563782400;67,21
fi;1563786000;67,34
fi;1563789600;68,43
fi;1563793200;67,2
fi;1563796800;66,36
fi;1563800400;61,09
fi;1563804000;61,08
fi;1563807600;61,8
fi;1563811200;58,59
fi;1563814800;56,18
fi;1563818400;55,62
fi;1563822000;54,95
fi;1563825600;53,69
fi;1563829200;41,19
fi;1563832800;42,57
fi;1563836400;37,58
fi;1563840000;36,98
fi;1563843600;36,52
fi;1563847200;36,32
fi;1563850800;40,79
fi;1563854400;60,8
fi;1563858000;72,47
fi;1563861600;75,23
fi;1563865200;76,57
fi;1563868800;75,5
fi;1563872400;75,3
fi;1563876000;75,31
fi;1563879600;75,31
fi;1563883200;72,47
fi;1563886800;68,24
fi;1563890400;62,38
fi;1563894000;62,37
fi;1563897600;59,69
fi;1563901200;62,98
fi;1563904800;61,89
fi;1563908400;59,42
fi;1563912000;54,53
fi;1563915600;44,41
fi;1563919200;52,2
fi;1563922800;43,75
fi;1563926400;38,48
fi;1563930000;38,14
fi;1563933600;37,94
fi;1563937200;43,58
fi;1563940800;61,92
fi;1563944400;71,91
fi;1563948000;76,49
fi;1563951600;78,11
fi;1563955200;77,31
fi;1563958800;77,31
fi;1563962400;78,8
fi;1563966000;78,09
fi;1563969600;76,45
fi;1563973200;81,01
fi;1563976800;72,24
fi;1563980400;68,22
fi;1563984000;66,57
fi;1563987600;72,28
fi;1563991200;54,95
fi;1563994800;54,95
fi;1563998400;56,42
fi;1564002000;48,6
fi;1564005600;49,5
fi;1564009200;41,04
fi;1564012800;39,58
fi;1564016400;38,8
fi;1564020000;38,48
fi;1564023600;49,49
fi;1564027200;61,51
fi;1564030800;65,1
fi;1564034400;67,18
fi;1564038000;66,92
fi;1564041600;74,34
fi;1564045200;77,25
fi;1564048800;77,47
fi;1564052400;77,17
fi;1564056000;77,21
fi;1564059600;75,87
fi;1564063200;63,78
fi;1564066800;63,06
fi;1564070400;62,05
fi;1564074000;67,91
fi;1564077600;61,86
fi;1564081200;58,48
fi;1564084800;55,7
fi;1564088400;42,89
fi;1564092000;38,65
fi;1564095600;37,73
fi;1564099200;37,19
