"Timestamp","Operation [1:Off, 2:On]","Dry concrete [1:Off, 2:On]","Mode [1:Tank only, 2:Heat, 3:Cool, 8:Auto, 9:Auto(Heat), 10:Auto(Cool)]","Tank [1:Off, 2:On]","Zone1-Zone2 On-Off [1:On-Off, 2:Off-On, 3:On-On]","SHP control [1:Disable, 2:Enable]","SHP flow control (forbid ΔT) [1:Disable, 2:Enable]","Zone1: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone1: (water shift/water/room) set temperature for cool mode [°C]","Zone2: (water shift/water/room/pool) set temperature for heat mode [°C]","Zone2: (water shift/water/room) set temperature for cool  mode [°C]","Tank water set temperature [°C]","Co-efficient frequency control [%]","Current Lv [Lv]","External SW [1:Close, 2:Open]","Heat-Cool SW [1:Heat, 2:Cool]","Powerful (Actual) [1:Off, 2:On]","Quiet (Actual) [1:Off, 2:On]","3-way valve [1:Room, 2:Tank]","Defrost (Actual) [1:Off, 2:On]","Room heater (Actual) [1:Off, 2:On]","Tank heater (Actual) [1:Off, 2:On]","Solar (Actual) [1:Off, 2:On]","Bivalent (Actual) [1:Off, 2:On]","Current error status [0:No error pop up screen in RC LCD, 1:Error pop up screen in RC LCD]","Backup heater 1 status (Actual) [1:Off, 2:On]","Backup heater 2 status (Actual) [1:Off, 2:On]","Backup heater 3 status (Actual) [1:Off, 2:On]","2 Zone pump 1 status (Actual) [1:Off, 2:On]","2 Zone pump 2 status (Actual) [1:Off, 2:On]","Sterilization status (Actual) [1:Off, 2:On]","Zone1: Actual (water outlet/room/pool) temperature [°C]","Zone2: Actual (water outlet/room/pool) temperature [°C]","Actual tank temperature [°C]","Actual outdoor temperature [°C]","Inlet water temperature [°C]","Outlet water temperature [°C]","Zone1: Water temperature [°C]","Zone2: Water temperature [°C]","Zone1: Water temperature (Target) [°C]","Zone2: Water temperature (Target) [°C]","Buffer tank: Water temperature [°C]","Solar: Water temperature [°C]","Pool: Water temperature [°C]","Outlet water temperature (Target) [°C]","Outlet 2 temperature [°C]","Discharge temperature [°C]","Room thermostat internal sensor temperature [°C]","Indoor piping temperature [°C]","Outdoor piping temperature [°C]","Defrost temperature [°C]","EVA outlet temperature [°C]","Bypass outlet temperature [°C]","IPM temperature [°C]","High pressure [kgf/cm2]","Low pressure [kgf/cm2]","Outdoor current [A]","Compressor frequency [Hz]","Pump flow rate [L/min]","Pump speed [r/min]","Pump duty [duty]","Fan motor speed 1 [r/min]","Fan motor speed 2 [r/min]","2 Zone mixing valve 1 opening [sec]","2 Zone mixing valve 2 opening [sec]","Heat mode energy consumption [kW]","Heat mode energy generation [kW]","Cool mode energy consumption [kW]","Cool mode energy generation [kW]","Tank mode energy consumption [kW]","Tank mode energy generation [kW]"
"28.Oct.2018 23:29:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-1","37.75","41.0","-78","-78","40","51","-78","-78","-78","40","41","49","27","41","-4","-1","-2","13","14","24.400000000000002","0.0","2.0","22","14.81","1550","80","480","520","0","0","1.2000000000000002","3.0","0.0","0.0","0.0","0.0"
"28.Oct.2018 23:34:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-1","37.75","41.0","-78","-78","40","51","-78","-78","-78","40","41","49","27","41","-4","-1","-3","13","14","24.6","0.0","2.0","22","14.81","1600","80","480","520","0","0","1.2000000000000002","3.0","0.0","0.0","0.0","0.0"
"28.Oct.2018 23:39:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","40.0","0","38","-1","38.25","40.5","-78","-78","40","51","-78","-78","-78","40","40","48","27","41","-4","-2","-2","13","14","24.200000000000003","0.0","1.8","19","14.81","1600","80","480","520","0","0","1.0","2.2","0.0","0.0","0.0","0.0"
"28.Oct.2018 23:44:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-1","38.25","41.0","-78","-78","40","51","-78","-78","-78","40","41","47","27","41","-4","-2","-2","13","14","24.400000000000002","0.0","1.8","20","14.81","1550","80","480","520","0","0","1.0","2.6","0.0","0.0","0.0","0.0"
"28.Oct.2018 23:49:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-1","38.25","41.0","-78","-78","40","51","-78","-78","-78","40","41","47","27","41","-4","-2","-3","13","14","24.400000000000002","0.0","1.8","19","14.81","1600","80","480","520","0","0","1.0","2.6","0.0","0.0","0.0","0.0"
"28.Oct.2018 23:54:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-1","38.25","41.0","-78","-78","40","51","-78","-78","-78","40","41","47","27","41","-4","-2","-3","13","14","24.400000000000002","0.0","1.8","20","14.81","1600","80","480","520","0","0","1.0","2.6","0.0","0.0","0.0","0.0"
"28.Oct.2018 23:59:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-1","38.25","41.0","-78","-78","40","51","-78","-78","-78","40","41","48","27","41","-4","-2","-3","13","14","24.400000000000002","0.0","1.8","19","14.81","1550","80","480","520","0","0","1.0","2.6","0.0","0.0","0.0","0.0"
"29.Oct.2018 00:04:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-2","38.25","41.0","-78","-78","41","52","-78","-78","-78","41","41","48","27","41","-4","-2","-3","13","13","24.400000000000002","0.0","1.8","19","14.81","1550","80","480","520","0","0","1.0","2.6","0.0","0.0","0.0","0.0"
"29.Oct.2018 00:09:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-2","38.25","41.0","-78","-78","41","52","-78","-78","-78","41","41","48","27","41","-4","-2","-3","13","13","24.6","0.0","1.8","20","14.45","1550","80","480","520","0","0","1.0","2.6","0.0","0.0","0.0","0.0"
"29.Oct.2018 00:14:54","2","1","2","2","1","0","0","0","0","0","0","40","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","41.0","0","38","-2","38.25","41.0","-78","-78","41","52","-78","-78","-78","41","41","48","27","41","-4","-2","-3","13","13","24.6","0.0","1.8","20","14.81","1550","80","480","510","0","0","1.0","3.0","0.0","0.0","0.0","0.0"
