Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,11.4,66,1015.4,0.3,11,3.4,7.3,,nähtusteta,,0.0,35.0,2018-07-01 0:00:00
Valga,11.1,68,1015.3,0.1,15,3.6,8.0,,nähtusteta,,0.0,35.0,2018-07-01 1:00:00
Valga,11.1,69,1015.5,0.2,12,4.0,7.2,,nähtusteta,,0.0,35.0,2018-07-01 2:00:00
Valga,10.9,72,1015.5,0.1,16,4.1,7.7,,nähtusteta,,0.0,35.0,2018-07-01 3:00:00
Valga,10.9,73,1015.3,0.0,11,3.7,8.4,,nähtusteta,,0.0,35.0,2018-07-01 4:00:00
Valga,10.3,74,1015.5,0.0,44,5.0,11.4,,nähtusteta,,0.0,35.0,2018-07-01 5:00:00
Valga,10.1,76,1015.4,-0.1,34,3.8,9.3,,nähtusteta,,0.0,35.0,2018-07-01 6:00:00
Valga,10.4,74,1015.2,-0.1,31,4.3,8.6,,nähtusteta,,0.0,35.0,2018-07-01 7:00:00
Valga,10.4,78,1015.7,0.2,20,3.4,7.9,,nähtusteta,,0.0,35.0,2018-07-01 8:00:00
Valga,10.9,77,1015.5,0.1,13,4.2,10.4,,nähtusteta,,0.0,35.0,2018-07-01 9:00:00
Valga,11.6,72,1014.9,-0.3,15,4.7,10.0,,nähtusteta,,0.0,32.3,2018-07-01 10:00:00
Valga,12.2,71,1014.9,-0.8,17,5.3,11.1,,nähtusteta,,0.0,35.0,2018-07-01 11:00:00
Valga,11.9,71,1015.1,-0.4,30,5.9,11.2,,nähtusteta,,0.0,35.0,2018-07-01 12:00:00
Valga,11.7,74,1015.1,0.2,30,5.3,12.7,,nähtusteta,,0.0,35.0,2018-07-01 13:00:00
Valga,11.1,80,1015.1,0.2,13,5.2,11.1,,nähtusteta,,0.0,35.0,2018-07-01 14:00:00
Valga,11.2,79,1014.7,-0.4,14,4.7,9.5,,nähtusteta,,0.0,35.0,2018-07-01 15:00:00
Valga,11.4,81,1014.4,-0.7,31,4.0,10.8,,nähtusteta,,0.0,28.8,2018-07-01 16:00:00
Valga,11.5,79,1014.0,-1.1,22,5.2,11.0,,vihm,,0.0,35.0,2018-07-01 17:00:00
Valga,10.6,93,1013.8,-0.9,26,4.8,12.0,,nõrk hoogvihm,,0.1,27.7,2018-07-01 18:00:00
Valga,10.5,93,1013.4,-1.0,27,5.0,10.1,,sademed,,0.1,27.6,2018-07-01 19:00:00
Valga,10.3,95,1013.0,-1.0,18,3.6,8.8,,uduvihm,,0.0,16.5,2018-07-01 20:00:00
Valga,10.5,96,1012.8,-1.0,24,3.4,7.1,,uduvihm,,0.1,14.5,2018-07-01 21:00:00
Valga,10.6,94,1012.6,-0.8,20,3.1,8.3,,nõrk hoogvihm,,0.1,35.0,2018-07-01 22:00:00
Valga,11.4,84,1011.8,-1.2,24,4.6,8.2,,nähtusteta,,0.0,35.0,2018-07-01 23:00:00
Valga,11.3,83,1011.4,-1.4,28,3.4,8.1,,nähtusteta,,0.0,35.0,2018-07-02 0:00:00
Valga,11.5,82,1010.7,-1.9,24,4.8,9.9,,nõrk vihm,,0.0,26.6,2018-07-02 1:00:00
Valga,10.4,94,1010.3,-1.5,25,4.3,7.9,,mõõdukas hoogvihm,,1.4,8.8,2018-07-02 2:00:00
Valga,10.3,95,1009.6,-1.8,4,3.5,7.5,,nõrk vihm,,2.0,28.4,2018-07-02 3:00:00
Valga,10.3,95,1008.8,-1.9,21,4.2,8.6,,nõrk hoogvihm,,0.9,7.0,2018-07-02 4:00:00
Valga,10.5,94,1008.2,-2.1,26,4.4,8.9,,vihm,,0.6,35.0,2018-07-02 5:00:00
Valga,10.4,96,1007.7,-1.9,20,3.2,7.3,,nõrk vihm,,0.5,14.6,2018-07-02 6:00:00
