Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,4.7,57,1014.4,-0.7,34,1.0,2.0,,nähtusteta,,0.0,35.0,2019-05-01 0:00:00
Valga,2.5,67,1014.0,-1.1,27,0.9,2.0,,nähtusteta,,0.0,35.0,2019-05-01 1:00:00
Valga,2.2,69,1013.6,-1.1,2,0.5,1.8,,nähtusteta,,0.0,35.0,2019-05-01 2:00:00
Valga,0.8,78,1012.9,-1.5,353,0.4,1.5,,nähtusteta,,0.0,35.0,2019-05-01 3:00:00
Valga,-0.2,82,1012.2,-1.8,63,0.7,1.0,,nähtusteta,,0.0,35.0,2019-05-01 4:00:00
Valga,-0.8,86,1011.4,-2.2,60,1.0,1.4,,nähtusteta,,0.0,35.0,2019-05-01 5:00:00
Valga,-1.0,87,1010.7,-2.2,78,1.0,1.9,,nähtusteta,,0.0,33.5,2019-05-01 6:00:00
Valga,2.3,75,1010.0,-2.2,62,0.7,1.1,,nähtusteta,,0.0,35.0,2019-05-01 7:00:00
Valga,5.3,63,1009.5,-1.9,69,1.2,2.2,,nähtusteta,,0.0,32.4,2019-05-01 8:00:00
Valga,9.3,50,1008.9,-1.8,73,0.8,1.8,,nähtusteta,,0.0,35.0,2019-05-01 9:00:00
Valga,12.9,39,1008.0,-2.0,180,0.6,2.2,,nähtusteta,,0.0,35.0,2019-05-01 10:00:00
Valga,14.9,28,1007.4,-2.1,175,1.5,3.2,,nähtusteta,,0.0,35.0,2019-05-01 11:00:00
Valga,16.3,28,1006.4,-2.5,164,1.9,4.9,,nähtusteta,,0.0,35.0,2019-05-01 12:00:00
Valga,16.7,25,1005.5,-2.5,236,4.7,9.0,,nähtusteta,,0.0,35.0,2019-05-01 13:00:00
Valga,16.6,25,1004.6,-2.8,257,3.2,8.3,,nähtusteta,,0.0,35.0,2019-05-01 14:00:00
Valga,18.0,24,1003.6,-2.8,244,4.3,8.9,,nähtusteta,,0.0,33.5,2019-05-01 15:00:00
Valga,17.3,24,1002.7,-2.8,240,4.2,10.1,,nähtusteta,,0.0,35.0,2019-05-01 16:00:00
Valga,17.7,26,1002.0,-2.6,231,4.1,10.6,,nähtusteta,,0.0,35.0,2019-05-01 17:00:00
Valga,16.8,25,1001.2,-2.4,269,4.9,9.1,,nähtusteta,,0.0,25.9,2019-05-01 18:00:00
