Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,-1.0,87,1015.4,-5.1,208,4.9,9.2,,nähtusteta,,0.0,13.1,2019-01-01 0:00:00
Valga,-0.6,88,1013.0,-5.6,199,5.8,9.6,,nähtusteta,,0.0,35.0,2019-01-01 1:00:00
Valga,-0.2,87,1011.2,-5.8,205,6.0,10.3,,nähtusteta,,0.0,35.0,2019-01-01 2:00:00
Valga,0.4,87,1009.2,-6.2,203,6.6,10.9,,nõrk vihm,,0.0,16.9,2019-01-01 3:00:00
Valga,-0.1,94,1006.6,-6.4,198,5.4,11.2,,nõrk lumi,,0.2,2.8,2019-01-01 4:00:00
Valga,0.1,97,1003.9,-7.3,210,7.2,11.4,,nõrk lumi,,0.2,2.4,2019-01-01 5:00:00
Valga,0.4,96,1001.6,-7.6,211,5.9,12.0,,nõrk lumi,,0.1,7.9,2019-01-01 6:00:00
Valga,0.6,96,999.4,-7.2,208,6.2,11.6,,nõrk hoogvihm,,0.0,4.6,2019-01-01 7:00:00
Valga,1.0,95,997.3,-6.6,203,6.0,12.1,,nõrk vihm,,0.2,9.8,2019-01-01 8:00:00
Valga,0.9,96,995.5,-6.1,200,4.9,9.9,,nõrk lumi,,0.9,6.5,2019-01-01 9:00:00
Valga,1.7,93,993.6,-5.8,206,6.2,11.9,,nõrk vihm,,0.3,8.9,2019-01-01 10:00:00
Valga,2.1,94,992.0,-5.3,208,6.2,11.2,,nõrk hoogvihm,,0.1,9.2,2019-01-01 11:00:00
Valga,2.5,95,990.6,-4.9,212,5.2,10.1,,nõrk hoogvihm,,0.5,16.8,2019-01-01 12:00:00
Valga,2.6,92,989.3,-4.3,206,5.7,10.2,,nõrk vihm,,0.3,33.1,2019-01-01 13:00:00
Valga,2.7,95,988.4,-3.6,210,5.4,10.2,,nõrk hoogvihm,,0.0,30.7,2019-01-01 14:00:00
Valga,2.8,95,987.8,-2.8,206,4.8,8.3,,nõrk hoogvihm,,0.2,17.1,2019-01-01 15:00:00
Valga,2.7,97,987.2,-2.1,207,3.9,7.5,,nõrk hoogvihm,,0.3,14.9,2019-01-01 16:00:00
Valga,2.1,96,987.1,-1.3,212,2.8,9.7,,nõrk vihm,,3.0,27.5,2019-01-01 17:00:00
Valga,2.5,95,986.9,-0.9,220,3.3,7.1,,nõrk vihm,,0.2,17.6,2019-01-01 18:00:00
Valga,1.9,96,986.9,-0.3,226,4.3,7.5,,nõrk lumi,,1.2,20.9,2019-01-01 19:00:00
Valga,1.7,96,986.9,-0.2,215,3.0,6.4,,lumi,,0.2,35.0,2019-01-01 20:00:00
Valga,2.2,95,987.2,0.3,232,3.1,5.7,,vihm,,0.2,33.3,2019-01-01 21:00:00
Valga,2.2,95,987.5,0.6,235,2.2,4.8,,nõrk hoogvihm,,0.1,14.8,2019-01-01 22:00:00
Valga,1.8,97,987.3,0.4,214,2.9,6.3,,vihm,,0.2,35.0,2019-01-01 23:00:00
Valga,1.9,96,987.2,0.0,218,3.4,5.6,,vihm,,0.0,34.2,2019-01-02 0:00:00
Valga,1.6,95,987.0,-0.5,215,3.5,6.2,,nõrk hoogvihm,,0.0,12.0,2019-01-02 1:00:00
Valga,1.6,97,987.0,-0.3,209,3.8,7.5,,nõrk vihm,,0.3,5.2,2019-01-02 2:00:00
Valga,1.5,93,987.7,0.5,240,3.1,7.6,,lumi,,0.3,23.2,2019-01-02 3:00:00
Valga,0.9,97,988.1,1.1,239,2.7,6.4,,nõrk hooglumi,,0.0,7.9,2019-01-02 4:00:00
Valga,0.7,94,988.4,1.4,237,3.1,5.7,,nõrk hoogvihm,,0.1,15.7,2019-01-02 5:00:00
Valga,0.3,96,988.9,1.2,221,2.5,5.1,,nõrk lumi,,0.2,3.3,2019-01-02 6:00:00
Valga,0.2,97,989.5,1.4,213,2.7,4.7,,nõrk lumi,,0.2,4.4,2019-01-02 7:00:00
Valga,0.0,98,990.3,1.9,206,2.1,4.1,,nõrk lumi,,0.2,3.4,2019-01-02 8:00:00
Valga,-0.1,99,991.5,2.6,202,1.2,3.4,,nõrk lumi,,0.4,3.4,2019-01-02 9:00:00
Valga,0.0,99,992.7,3.2,101,0.8,,,nõrk lumi,,0.1,2.0,2019-01-02 10:00:00
Valga,0.1,99,994.0,3.7,52,1.4,,,nõrk lumi,,0.1,4.8,2019-01-02 11:00:00
Valga,0.2,99,995.3,3.8,18,1.8,2.8,,nõrk vihm koos lumega,,0.1,35.0,2019-01-02 12:00:00
Valga,0.3,97,996.4,3.7,10,3.0,5.7,,nõrk hoogvihm,,0.0,4.8,2019-01-02 13:00:00
Valga,0.0,96,997.5,3.5,360,4.8,9.8,,nõrk lumi,,0.0,2.6,2019-01-02 14:00:00
Valga,-1.0,90,999.2,3.9,1,5.8,12.3,,nõrk lumi,,0.0,16.3,2019-01-02 15:00:00
Valga,-1.3,91,1000.7,4.3,359,6.4,13.4,,jääkruubid,,0.0,2.8,2019-01-02 16:00:00
Valga,-1.6,89,1001.8,4.3,1,6.8,12.9,,nõrk lumi,,0.0,6.9,2019-01-02 17:00:00
Valga,-2.0,86,1002.9,3.7,5,6.3,14.5,,nõrk lumi,,0.0,23.4,2019-01-02 18:00:00
Valga,-2.5,90,1003.9,3.2,360,6.0,13.6,,nõrk hooglumi,,0.0,9.7,2019-01-02 19:00:00
Valga,-2.6,89,1005.0,3.2,359,6.4,12.2,,nõrk lumi,,0.0,5.4,2019-01-02 20:00:00
Valga,-3.0,88,1005.9,3.0,360,6.4,11.8,,nõrk lumi,,0.0,4.7,2019-01-02 21:00:00
Valga,-3.3,86,1006.8,2.9,359,6.8,14.0,,nõrk lumi,,0.0,13.3,2019-01-02 22:00:00
Valga,-3.6,86,1007.6,2.6,357,6.4,12.5,,nõrk lumi,,0.0,23.5,2019-01-02 23:00:00
Valga,-3.7,84,1008.6,2.7,360,6.7,13.4,,nõrk lumi,,0.0,9.1,2019-01-03 0:00:00
Valga,-4.0,84,1009.3,2.5,3,6.4,13.6,,nõrk lumi,,0.0,4.1,2019-01-03 1:00:00
Valga,-4.3,84,1010.2,2.6,357,6.6,13.1,,nõrk lumi,,0.0,6.0,2019-01-03 2:00:00
Valga,-4.6,86,1011.0,2.4,355,5.6,12.2,,nõrk lumi,,0.0,9.4,2019-01-03 3:00:00
Valga,-4.7,85,1012.0,2.7,356,5.6,12.1,,nõrk lumi,,0.0,10.0,2019-01-03 4:00:00
Valga,-4.7,83,1012.5,2.3,354,6.2,12.6,,nõrk lumi,,0.1,22.5,2019-01-03 5:00:00
