Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,8.8,74,1024.3,0.9,35,1.1,2.1,,nähtusteta,,0.0,35.0,2018-06-01 0:00:00
Valga,7.1,82,1024.4,0.7,321,0.4,1.8,,nähtusteta,,0.0,35.0,2018-06-01 1:00:00
Valga,5.7,88,1024.4,0.3,58,0.3,1.3,,nähtusteta,,0.0,35.0,2018-06-01 2:00:00
Valga,4.9,91,1024.4,0.1,42,0.4,1.0,,nähtusteta,,0.0,35.0,2018-06-01 3:00:00
Valga,4.1,92,1024.6,0.2,325,0.4,1.2,,nähtusteta,,0.0,35.0,2018-06-01 4:00:00
Valga,3.8,96,1025.0,0.6,59,0.9,1.5,,nähtusteta,,0.0,35.0,2018-06-01 5:00:00
Valga,6.9,82,1024.9,0.5,131,0.7,1.5,,nähtusteta,,0.0,35.0,2018-06-01 6:00:00
Valga,9.3,74,1024.7,0.1,168,1.8,4.0,,nähtusteta,,0.0,33.5,2018-06-01 7:00:00
Valga,12.2,65,1024.6,-0.4,166,1.3,3.1,,nähtusteta,,0.0,35.0,2018-06-01 8:00:00
Valga,14.7,56,1024.3,-0.6,162,2.0,3.6,,nähtusteta,,0.0,35.0,2018-06-01 9:00:00
Valga,16.8,48,1023.7,-1.0,256,1.8,3.8,,nähtusteta,,0.0,35.0,2018-06-01 10:00:00
Valga,18.4,41,1023.1,-1.5,286,1.2,4.9,,nähtusteta,,0.0,19.7,2018-06-01 11:00:00
Valga,18.9,41,1022.7,-1.6,280,2.6,5.8,,nähtusteta,,0.0,35.0,2018-06-01 12:00:00
Valga,19.9,37,1022.0,-1.7,238,3.0,6.6,,nähtusteta,,0.0,35.0,2018-06-01 13:00:00
Valga,20.6,36,1021.5,-1.6,262,2.9,6.7,,nähtusteta,,0.0,35.0,2018-06-01 14:00:00
Valga,21.1,33,1020.8,-1.9,255,3.3,6.7,,nähtusteta,,0.0,35.0,2018-06-01 15:00:00
Valga,22.0,34,1020.1,-1.9,280,3.3,7.4,,nähtusteta,,0.0,27.7,2018-06-01 16:00:00
Valga,22.4,35,1019.5,-2.0,268,3.4,7.0,,nähtusteta,,0.0,35.0,2018-06-01 17:00:00
Valga,22.6,33,1018.6,-2.2,214,2.8,6.2,,nähtusteta,,0.0,35.0,2018-06-01 18:00:00
Valga,22.3,34,1017.9,-2.2,230,1.9,6.4,,nähtusteta,,0.0,35.0,2018-06-01 19:00:00
Valga,21.8,37,1017.5,-2.0,263,2.2,6.5,,nähtusteta,,0.0,35.0,2018-06-01 20:00:00
Valga,20.2,41,1017.2,-1.4,300,1.6,3.8,,nähtusteta,,0.0,35.0,2018-06-01 21:00:00
Valga,15.7,64,1017.3,-0.6,277,1.1,2.1,,nähtusteta,,0.0,35.0,2018-06-01 22:00:00
Valga,12.5,75,1017.3,-0.2,248,0.5,1.8,,nähtusteta,,0.0,35.0,2018-06-01 23:00:00
Valga,11.1,79,1017.1,-0.1,235,0.6,1.2,,nähtusteta,,0.0,35.0,2018-06-02 0:00:00
Valga,9.8,87,1016.7,-0.6,282,0.8,1.3,,nähtusteta,,0.0,35.0,2018-06-02 1:00:00
Valga,8.4,92,1016.3,-1.0,257,1.0,1.5,,nähtusteta,,0.0,33.4,2018-06-02 2:00:00
Valga,7.7,90,1015.8,-1.3,243,0.8,1.4,,nähtusteta,,0.0,35.0,2018-06-02 3:00:00
Valga,7.4,92,1015.3,-1.4,262,0.8,1.2,,nähtusteta,,0.0,35.0,2018-06-02 4:00:00
Valga,7.3,90,1014.9,-1.4,250,0.6,1.1,,nähtusteta,,0.0,35.0,2018-06-02 5:00:00
Valga,9.2,87,1014.7,-1.1,232,1.0,1.9,,nähtusteta,,0.0,35.0,2018-06-02 6:00:00
Valga,12.0,74,1014.5,-0.8,224,0.8,2.4,,nähtusteta,,0.0,28.1,2018-06-02 7:00:00
Valga,15.3,62,1014.0,-0.9,182,0.6,2.9,,nähtusteta,,0.0,25.8,2018-06-02 8:00:00
Valga,18.0,57,1013.3,-1.4,198,1.8,2.6,,nähtusteta,,0.0,35.0,2018-06-02 9:00:00
Valga,18.8,55,1013.2,-1.3,257,1.9,3.3,,nähtusteta,,0.0,20.2,2018-06-02 10:00:00
Valga,19.8,52,1013.0,-1.0,22,4.1,6.8,,nähtusteta,,0.0,35.0,2018-06-02 11:00:00
Valga,21.3,47,1012.7,-0.6,105,0.6,6.0,,nähtusteta,,0.0,35.0,2018-06-02 12:00:00
Valga,21.7,41,1012.4,-0.8,287,2.6,6.7,,nähtusteta,,0.0,35.0,2018-06-02 13:00:00
Valga,24.1,31,1012.0,-1.0,334,2.5,5.8,,nähtusteta,,0.0,35.0,2018-06-02 14:00:00
Valga,24.8,33,1011.6,-1.1,248,2.4,6.4,,nähtusteta,,0.0,35.0,2018-06-02 15:00:00
Valga,24.5,36,1011.1,-1.3,325,2.7,6.3,,nähtusteta,,0.0,26.8,2018-06-02 16:00:00
Valga,24.4,38,1010.8,-1.2,286,2.5,5.9,,nähtusteta,,0.0,35.0,2018-06-02 17:00:00
Valga,23.9,38,1010.5,-1.1,314,2.3,7.2,,nähtusteta,,0.0,35.0,2018-06-02 18:00:00
Valga,24.2,36,1010.2,-0.9,288,2.9,6.4,,nähtusteta,,0.0,35.0,2018-06-02 19:00:00
Valga,23.0,41,1010.2,-0.6,282,3.9,7.3,,nähtusteta,,0.0,35.0,2018-06-02 20:00:00
Valga,21.4,48,1010.3,-0.2,289,3.0,7.4,,nähtusteta,,0.0,35.0,2018-06-02 21:00:00
Valga,19.5,53,1010.3,0.1,278,2.1,4.4,,nähtusteta,,0.0,35.0,2018-06-02 22:00:00
Valga,18.1,58,1010.3,0.1,270,1.9,3.4,,nähtusteta,,0.0,35.0,2018-06-02 23:00:00
Valga,17.4,64,1010.3,0.0,259,1.8,3.2,,nähtusteta,,0.0,35.0,2018-06-03 0:00:00
Valga,15.2,74,1010.6,0.3,265,1.8,3.0,,nähtusteta,,0.0,35.0,2018-06-03 1:00:00
Valga,13.9,80,1010.7,0.4,269,1.6,4.0,,nähtusteta,,0.0,35.0,2018-06-03 2:00:00
Valga,13.2,75,1010.6,0.3,278,2.4,4.2,,nähtusteta,,0.0,35.0,2018-06-03 3:00:00
Valga,12.4,71,1010.6,0.0,275,2.9,5.1,,nähtusteta,,0.0,35.0,2018-06-03 4:00:00
Valga,11.3,77,1010.4,-0.3,264,1.7,5.5,,nähtusteta,,0.0,35.0,2018-06-03 5:00:00
Valga,12.2,71,1010.2,-0.4,285,1.9,4.8,,nähtusteta,,0.0,32.0,2018-06-03 6:00:00
Valga,13.4,68,1010.1,-0.5,284,3.1,6.0,,nähtusteta,,0.0,35.0,2018-06-03 7:00:00
Valga,15.0,63,1010.2,-0.2,298,2.6,5.4,,nähtusteta,,0.0,35.0,2018-06-03 8:00:00
Valga,17.0,58,1010.0,-0.2,286,2.5,5.3,,nähtusteta,,0.0,35.0,2018-06-03 9:00:00
Valga,18.6,54,1010.0,-0.1,260,3.4,6.3,,nähtusteta,,0.0,35.0,2018-06-03 10:00:00
Valga,20.9,51,1010.1,-0.1,294,3.2,6.8,,nähtusteta,,0.0,35.0,2018-06-03 11:00:00
Valga,21.1,45,1010.1,0.1,319,3.9,8.7,,nähtusteta,,0.0,35.0,2018-06-03 12:00:00
Valga,21.8,36,1010.1,0.1,347,4.0,7.7,,nähtusteta,,0.0,35.0,2018-06-03 13:00:00
Valga,22.7,34,1009.8,-0.3,345,3.6,7.9,,nähtusteta,,0.0,35.0,2018-06-03 14:00:00
Valga,23.4,32,1009.4,-0.7,344,3.7,8.0,,nähtusteta,,0.0,35.0,2018-06-03 15:00:00
Valga,24.1,34,1009.0,-1.1,296,3.9,8.2,,nähtusteta,,0.0,35.0,2018-06-03 16:00:00
Valga,24.3,36,1008.5,-1.3,284,4.3,8.8,,nähtusteta,,0.0,35.0,2018-06-03 17:00:00
Valga,23.9,34,1008.2,-1.2,275,5.9,10.3,,nähtusteta,,0.0,35.0,2018-06-03 18:00:00
Valga,22.7,36,1008.2,-0.8,290,4.4,9.4,,nähtusteta,,0.0,35.0,2018-06-03 19:00:00
Valga,22.0,41,1007.9,-0.6,272,3.8,9.0,,nähtusteta,,0.0,34.9,2018-06-03 20:00:00
Valga,20.8,47,1007.7,-0.5,277,2.5,7.7,,nähtusteta,,0.0,35.0,2018-06-03 21:00:00
Valga,19.0,51,1007.6,-0.6,264,2.1,4.6,,nähtusteta,,0.0,35.0,2018-06-03 22:00:00
