Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,19.9,59,1003.2,-1.4,218,1.9,3.8,,nähtusteta,,0.0,35.0,2019-07-01 0:00:00
Valga,18.8,63,1002.4,-1.9,200,2.2,3.8,,nähtusteta,,0.0,35.0,2019-07-01 1:00:00
Valga,19.9,56,1001.4,-2.8,211,3.6,7.0,,nähtusteta,,0.0,35.0,2019-07-01 2:00:00
Valga,20.2,54,1000.1,-3.1,211,3.8,7.9,,nähtusteta,,0.0,35.0,2019-07-01 3:00:00
Valga,19.7,58,999.5,-2.9,225,2.6,6.7,,nähtusteta,,0.0,35.0,2019-07-01 4:00:00
Valga,19.0,63,998.6,-2.8,202,2.1,4.7,,nähtusteta,,0.0,35.0,2019-07-01 5:00:00
Valga,20.4,60,998.7,-1.4,234,3.3,6.7,,nähtusteta,,0.0,35.0,2019-07-01 6:00:00
Valga,21.2,63,998.3,-1.2,243,3.7,8.2,,nähtusteta,,0.0,35.0,2019-07-01 7:00:00
Valga,21.5,64,998.7,0.1,254,5.6,10.9,,nähtusteta,,0.0,35.0,2019-07-01 8:00:00
Valga,21.0,59,999.1,0.4,257,5.5,14.5,,nähtusteta,,0.0,35.0,2019-07-01 9:00:00
Valga,21.1,57,999.5,1.2,262,6.1,12.0,,nähtusteta,,0.0,22.1,2019-07-01 10:00:00
Valga,21.2,57,1000.0,1.3,259,7.1,12.5,,nähtusteta,,0.0,28.8,2019-07-01 11:00:00
Valga,21.5,55,1000.9,1.8,259,7.1,12.9,,nähtusteta,,0.0,35.0,2019-07-01 12:00:00
Valga,21.7,55,1001.6,2.1,267,6.7,15.1,,nähtusteta,,0.0,35.0,2019-07-01 13:00:00
Valga,21.8,52,1001.8,1.8,255,6.2,13.1,,nähtusteta,,0.0,35.0,2019-07-01 14:00:00
Valga,21.6,53,1002.4,1.5,267,6.5,14.6,,nähtusteta,,0.0,35.0,2019-07-01 15:00:00
Valga,21.0,54,1002.9,1.3,261,7.3,16.0,,nähtusteta,,0.0,28.8,2019-07-01 16:00:00
Valga,19.9,54,1003.0,1.2,258,7.7,14.0,,nähtusteta,,0.0,35.0,2019-07-01 17:00:00
Valga,20.0,57,1003.2,0.8,263,6.0,14.2,,nähtusteta,,0.0,35.0,2019-07-01 18:00:00
Valga,19.3,57,1003.2,0.3,269,4.4,11.8,,nähtusteta,,0.0,35.0,2019-07-01 19:00:00
Valga,19.1,61,1003.0,0.0,261,2.7,7.9,,nähtusteta,,0.0,35.0,2019-07-01 20:00:00
Valga,18.3,66,1002.8,-0.4,252,3.8,7.7,,vihm,,0.0,35.0,2019-07-01 21:00:00
Valga,17.4,71,1002.9,-0.3,248,3.3,6.5,,nähtusteta,,0.0,35.0,2019-07-01 22:00:00
Valga,16.5,76,1002.9,-0.1,236,2.5,6.4,,nähtusteta,,0.0,35.0,2019-07-01 23:00:00
Valga,16.1,77,1002.8,0.0,230,3.2,6.2,,nähtusteta,,0.0,35.0,2019-07-02 0:00:00
Valga,16.1,80,1002.8,-0.1,237,3.4,7.9,,nähtusteta,,0.0,35.0,2019-07-02 1:00:00
Valga,15.3,88,1002.3,-0.6,235,2.4,8.2,,vihm,,0.6,35.0,2019-07-02 2:00:00
Valga,14.9,88,1002.2,-0.6,235,2.9,6.3,,nähtusteta,,0.0,35.0,2019-07-02 3:00:00
Valga,14.2,90,1001.9,-0.9,228,2.9,6.0,,nähtusteta,,0.0,35.0,2019-07-02 4:00:00
Valga,14.5,87,1002.2,-0.1,233,3.3,6.5,,nähtusteta,,0.0,35.0,2019-07-02 5:00:00
Valga,14.6,85,1002.5,0.3,236,3.3,8.2,,nähtusteta,,0.0,35.0,2019-07-02 6:00:00
Valga,16.0,82,1002.2,0.3,238,4.6,8.5,,nähtusteta,,0.0,35.0,2019-07-02 7:00:00
Valga,15.8,83,1002.4,0.2,247,3.2,7.8,,nähtusteta,,0.0,35.0,2019-07-02 8:00:00
Valga,16.7,80,1002.2,-0.3,252,4.1,8.3,,vihm,,0.0,29.0,2019-07-02 9:00:00
Valga,17.2,75,1002.3,0.1,253,3.7,7.9,,nähtusteta,,0.0,35.0,2019-07-02 10:00:00
Valga,16.3,84,1002.6,0.2,267,3.0,8.1,,vihm,,0.1,28.1,2019-07-02 11:00:00
Valga,15.3,85,1002.7,0.5,247,3.6,7.8,,tugev hoogvihm,,0.9,35.0,2019-07-02 12:00:00
Valga,16.6,81,1002.6,0.3,263,5.6,9.6,,sademed,,0.0,29.5,2019-07-02 13:00:00
Valga,14.9,89,1002.7,0.1,262,4.7,10.0,,nõrk hoogvihm,,1.5,35.0,2019-07-02 14:00:00
Valga,17.5,81,1002.4,-0.3,266,4.4,8.9,,nõrk hoogvihm,,0.1,29.5,2019-07-02 15:00:00
Valga,15.4,89,1002.9,0.3,250,4.3,10.0,,tugev hoogvihm,,1.1,35.0,2019-07-02 16:00:00
Valga,16.1,83,1002.7,0.0,249,3.9,8.4,,nõrk hoogvihm,,0.3,21.3,2019-07-02 17:00:00
Valga,17.0,77,1002.3,-0.1,261,4.3,7.2,,vihm,,0.3,26.3,2019-07-02 18:00:00
Valga,13.7,91,1002.8,-0.1,267,2.9,13.1,,mõõdukas hoogvihm,,1.6,15.1,2019-07-02 19:00:00
Valga,14.3,85,1002.6,-0.1,265,4.6,7.6,,vihm,,0.3,35.0,2019-07-02 20:00:00
Valga,13.4,94,1002.8,0.5,248,2.4,6.4,,nõrk hoogvihm,,0.9,35.0,2019-07-02 21:00:00
Valga,13.3,93,1002.5,-0.3,233,2.4,5.3,,nähtusteta,,0.0,35.0,2019-07-02 22:00:00
Valga,12.9,92,1002.3,-0.3,236,3.0,5.5,,nõrk hoogvihm,,0.0,35.0,2019-07-02 23:00:00
Valga,12.7,95,1002.2,-0.6,230,3.6,6.5,,nõrk hoogvihm,,0.1,17.1,2019-07-03 0:00:00
Valga,12.5,96,1001.9,-0.6,233,2.9,7.7,,nõrk hoogvihm,,0.2,23.8,2019-07-03 1:00:00
Valga,12.5,97,1001.8,-0.5,243,2.5,5.0,,vihm,,0.1,35.0,2019-07-03 2:00:00
Valga,12.9,94,1001.6,-0.6,273,3.0,5.7,,nähtusteta,,0.0,35.0,2019-07-03 3:00:00
Valga,12.6,95,1001.9,0.0,271,3.4,6.7,,nähtusteta,,0.0,35.0,2019-07-03 4:00:00
Valga,12.5,96,1002.1,0.3,270,2.9,6.9,,vihm,,0.3,35.0,2019-07-03 5:00:00
Valga,12.4,94,1002.4,0.8,272,3.0,7.1,,nähtusteta,,0.0,34.6,2019-07-03 6:00:00
Valga,12.1,93,1002.7,0.8,272,3.1,6.6,,nähtusteta,,0.0,25.1,2019-07-03 7:00:00
Valga,12.5,86,1003.1,1.0,279,4.1,7.1,,nähtusteta,,0.0,35.0,2019-07-03 8:00:00
Valga,12.9,83,1003.5,1.1,268,4.4,8.1,,nähtusteta,,0.0,35.0,2019-07-03 9:00:00
Valga,12.5,86,1004.2,1.5,266,4.4,10.3,,nähtusteta,,0.0,35.0,2019-07-03 10:00:00
Valga,12.5,84,1004.8,1.7,259,5.2,11.2,,nähtusteta,,0.0,35.0,2019-07-03 11:00:00
Valga,13.4,79,1005.1,1.6,263,5.1,10.5,,nähtusteta,,0.0,35.0,2019-07-03 12:00:00
Valga,14.1,68,1005.5,1.3,266,6.1,12.8,,nähtusteta,,0.0,35.0,2019-07-03 13:00:00
Valga,13.7,63,1006.3,1.5,273,5.7,13.6,,nähtusteta,,0.0,35.0,2019-07-03 14:00:00
Valga,14.4,58,1006.6,1.5,276,5.5,11.9,,nähtusteta,,0.0,35.0,2019-07-03 15:00:00
Valga,15.1,58,1007.3,1.8,283,6.9,12.4,,nähtusteta,,0.0,35.0,2019-07-03 16:00:00
