Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,-5.7,96,1014.0,-0.4,54,1.5,3.2,,nähtusteta,,0.0,10.8,2019-02-01 0:00:00
Valga,-4.5,96,1013.7,-0.6,62,1.6,2.6,,uduvine,,0.0,10.0,2019-02-01 1:00:00
Valga,-3.6,96,1013.3,-0.9,70,2.3,3.8,,uduvine,,0.0,9.4,2019-02-01 2:00:00
Valga,-2.9,98,1012.9,-1.1,72,3.1,5.2,,uduvine,,0.0,9.4,2019-02-01 3:00:00
Valga,-2.7,97,1012.8,-0.9,75,3.6,7.3,,uduvine,,0.0,9.7,2019-02-01 4:00:00
Valga,-2.5,97,1012.4,-0.9,75,4.0,7.2,,nähtusteta,,0.0,11.7,2019-02-01 5:00:00
Valga,-2.2,97,1012.4,-0.5,82,3.9,7.3,,nähtusteta,,0.0,12.5,2019-02-01 6:00:00
Valga,-2.1,98,1012.4,-0.4,81,3.4,7.7,,uduvine,,0.0,8.9,2019-02-01 7:00:00
Valga,-2.1,97,1012.2,-0.2,72,4.1,7.0,,nõrk lumi,,0.0,6.6,2019-02-01 8:00:00
Valga,-2.1,96,1012.1,-0.3,74,4.3,7.5,,nõrk lumi,,0.2,4.6,2019-02-01 9:00:00
Valga,-1.8,94,1012.1,-0.3,80,4.2,7.9,,nõrk lumi,,0.1,6.3,2019-02-01 10:00:00
Valga,-1.5,92,1012.2,0.0,80,4.1,7.3,,nõrk lumi,,0.1,4.4,2019-02-01 11:00:00
Valga,-1.2,91,1012.2,0.1,82,3.5,6.9,,nõrk lumi,,0.1,12.8,2019-02-01 12:00:00
Valga,-1.0,92,1012.2,0.1,85,3.7,5.7,,nõrk hooglumi,,0.0,14.3,2019-02-01 13:00:00
Valga,-0.9,92,1012.0,-0.2,80,3.2,6.5,,nõrk hooglumi,,0.0,20.4,2019-02-01 14:00:00
Valga,-0.8,93,1011.9,-0.3,76,3.1,6.3,,nähtusteta,,0.0,17.3,2019-02-01 15:00:00
Valga,-0.7,96,1011.8,-0.4,73,3.1,5.6,,lumi,,0.0,9.5,2019-02-01 16:00:00
Valga,-0.7,95,1011.8,-0.2,82,3.1,5.9,,lumi,,0.0,15.0,2019-02-01 17:00:00
Valga,-0.6,94,1011.8,-0.1,79,3.2,5.5,,nõrk hooglumi,,0.0,17.1,2019-02-01 18:00:00
Valga,-0.5,93,1011.9,0.1,87,3.2,5.5,,lumi,,0.0,21.2,2019-02-01 19:00:00
Valga,-0.5,93,1012.0,0.2,83,2.6,5.8,,nõrk vihm koos lumega,,0.0,8.8,2019-02-01 20:00:00
Valga,-0.5,95,1011.9,0.1,81,3.3,5.4,,nõrk lumi,,0.0,10.0,2019-02-01 21:00:00
Valga,-0.3,95,1012.3,0.4,87,2.5,4.9,,nõrk hooglumi,,0.0,15.7,2019-02-01 22:00:00
Valga,-0.3,96,1012.3,0.3,79,2.5,4.1,,lumi,,0.0,19.6,2019-02-01 23:00:00
Valga,-0.3,96,1012.2,0.3,89,2.4,4.9,,nõrk lumi,,0.0,19.5,2019-02-02 0:00:00
Valga,-0.2,96,1012.3,0.0,89,2.2,4.1,,nähtusteta,,0.0,17.1,2019-02-02 1:00:00
Valga,-0.1,96,1012.2,-0.1,87,2.0,3.8,,nähtusteta,,0.0,19.8,2019-02-02 2:00:00
