Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,-0.4,71,1015.7,3.0,271,3.0,6.5,,nähtusteta,,0.0,35.0,2019-04-01 0:00:00
Valga,-0.6,72,1016.2,2.0,272,3.4,6.0,,nähtusteta,,0.0,35.0,2019-04-01 1:00:00
Valga,-0.1,76,1016.9,1.8,274,3.9,7.2,,nähtusteta,,0.0,35.0,2019-04-01 2:00:00
Valga,-0.2,80,1017.3,1.6,274,3.6,6.3,,nähtusteta,,0.0,35.0,2019-04-01 3:00:00
Valga,-0.1,77,1017.8,1.6,285,4.1,7.1,,nähtusteta,,0.0,35.0,2019-04-01 4:00:00
Valga,0.2,76,1018.5,1.6,283,3.1,7.7,,nähtusteta,,0.0,35.0,2019-04-01 5:00:00
Valga,0.0,78,1019.4,2.1,280,3.0,5.7,,nähtusteta,,0.0,35.0,2019-04-01 6:00:00
Valga,0.0,78,1020.5,2.7,290,3.9,6.6,,nähtusteta,,0.0,35.0,2019-04-01 7:00:00
Valga,1.0,74,1021.6,3.1,292,3.7,6.6,,nähtusteta,,0.0,35.0,2019-04-01 8:00:00
Valga,2.1,69,1022.7,3.3,298,3.7,7.3,,nähtusteta,,0.0,35.0,2019-04-01 9:00:00
Valga,3.6,63,1023.7,3.2,296,4.5,7.8,,nähtusteta,,0.0,35.0,2019-04-01 10:00:00
Valga,6.0,54,1024.5,2.9,324,4.3,9.2,,nähtusteta,,0.0,35.0,2019-04-01 11:00:00
Valga,6.7,50,1024.9,2.2,287,4.5,9.4,,nähtusteta,,0.0,35.0,2019-04-01 12:00:00
Valga,8.3,40,1025.2,1.5,317,3.7,9.7,,nähtusteta,,0.0,35.0,2019-04-01 13:00:00
Valga,7.9,36,1025.5,1.0,314,5.1,10.1,,nähtusteta,,0.0,35.0,2019-04-01 14:00:00
Valga,8.7,35,1025.6,0.7,310,4.9,11.4,,nähtusteta,,0.0,35.0,2019-04-01 15:00:00
Valga,8.4,35,1025.9,0.7,304,5.3,11.7,,nähtusteta,,0.0,35.0,2019-04-01 16:00:00
Valga,8.4,37,1026.1,0.6,286,6.1,10.3,,nähtusteta,,0.0,35.0,2019-04-01 17:00:00
Valga,7.7,36,1026.2,0.6,297,4.8,10.2,,nähtusteta,,0.0,35.0,2019-04-01 18:00:00
Valga,6.5,48,1026.7,0.8,273,4.7,9.4,,nähtusteta,,0.0,35.0,2019-04-01 19:00:00
Valga,4.9,53,1027.2,1.1,281,3.4,7.5,,nähtusteta,,0.0,35.0,2019-04-01 20:00:00
Valga,3.4,57,1028.0,1.8,275,2.9,6.6,,nähtusteta,,0.0,35.0,2019-04-01 21:00:00
Valga,1.9,64,1028.5,1.8,285,2.9,5.2,,nähtusteta,,0.0,35.0,2019-04-01 22:00:00
Valga,1.2,69,1029.0,1.8,258,2.2,4.3,,nähtusteta,,0.0,35.0,2019-04-01 23:00:00
Valga,0.0,79,1029.4,1.4,269,1.9,3.4,,nähtusteta,,0.0,35.0,2019-04-02 0:00:00
Valga,-1.1,83,1029.8,1.3,214,1.5,2.5,,nähtusteta,,0.0,35.0,2019-04-02 1:00:00
Valga,-2.2,89,1029.8,0.8,205,1.3,1.9,,nähtusteta,,0.0,35.0,2019-04-02 2:00:00
Valga,-2.9,93,1030.3,0.9,218,1.6,2.5,,nähtusteta,,0.0,35.0,2019-04-02 3:00:00
Valga,-3.3,95,1030.7,0.9,198,1.3,1.8,,nähtusteta,,0.0,26.3,2019-04-02 4:00:00
Valga,-3.0,94,1030.8,1.0,219,1.3,1.8,,nähtusteta,,0.0,32.1,2019-04-02 5:00:00
Valga,-3.9,95,1031.1,0.8,220,1.4,2.3,,nähtusteta,,0.0,26.1,2019-04-02 6:00:00
Valga,-4.4,95,1031.4,0.7,185,0.9,2.1,,nähtusteta,,0.0,12.3,2019-04-02 7:00:00
Valga,-2.8,93,1031.6,0.8,218,1.5,2.4,,nähtusteta,,0.0,23.1,2019-04-02 8:00:00
Valga,-0.4,85,1031.8,0.7,218,1.8,2.9,,nähtusteta,,0.0,35.0,2019-04-02 9:00:00
Valga,2.3,67,1031.9,0.5,239,2.3,4.1,,nähtusteta,,0.0,35.0,2019-04-02 10:00:00
Valga,3.9,54,1031.8,0.2,242,2.5,4.7,,nähtusteta,,,35.0,2019-04-02 11:00:00
Valga,5.3,47,1031.5,-0.3,262,2.7,6.1,,nähtusteta,,0.0,35.0,2019-04-02 12:00:00
Valga,6.8,39,1031.0,-0.9,241,2.3,5.2,,nähtusteta,,0.0,35.0,2019-04-02 13:00:00
Valga,7.7,33,1030.6,-1.2,281,2.9,5.9,,nähtusteta,,0.0,35.0,2019-04-02 14:00:00
Valga,8.5,28,1029.8,-1.7,271,3.7,7.5,,nähtusteta,,0.0,35.0,2019-04-02 15:00:00
Valga,9.0,28,1029.1,-1.9,234,2.2,8.1,,nähtusteta,,0.0,35.0,2019-04-02 16:00:00
Valga,10.5,29,1028.4,-2.2,232,0.9,4.3,,nähtusteta,,0.0,35.0,2019-04-02 17:00:00
Valga,9.5,25,1027.8,-2.0,186,2.6,4.9,,nähtusteta,,0.0,12.8,2019-04-02 18:00:00
Valga,9.1,26,1027.4,-1.7,198,1.4,3.6,,nähtusteta,,0.0,35.0,2019-04-02 19:00:00
Valga,7.1,30,1027.0,-1.4,104,1.1,2.4,,põuavine,,0.0,26.8,2019-04-02 20:00:00
Valga,3.1,47,1027.3,-0.5,65,1.5,1.9,,nähtusteta,,0.0,35.0,2019-04-02 21:00:00
Valga,1.1,55,1027.4,0.0,110,1.1,2.0,,nähtusteta,,0.0,35.0,2019-04-02 22:00:00
Valga,0.6,53,1027.4,0.4,148,1.0,2.7,,nähtusteta,,0.0,35.0,2019-04-02 23:00:00
Valga,-0.1,55,1027.4,0.1,79,0.7,2.5,,nähtusteta,,0.0,30.1,2019-04-03 0:00:00
Valga,-1.7,63,1027.6,0.2,41,1.0,1.8,,nähtusteta,,0.0,35.0,2019-04-03 1:00:00
Valga,-1.2,58,1027.6,0.2,138,1.0,2.9,,nähtusteta,,0.0,35.0,2019-04-03 2:00:00
Valga,-2.3,63,1027.6,0.2,65,0.6,1.7,,nähtusteta,,0.0,35.0,2019-04-03 3:00:00
Valga,-3.7,75,1027.6,0.0,64,1.1,1.8,,nähtusteta,,0.0,35.0,2019-04-03 4:00:00
Valga,-3.1,67,1027.3,-0.3,74,0.6,1.5,,nähtusteta,,0.0,35.0,2019-04-03 5:00:00
Valga,-1.0,54,1027.1,-0.5,168,1.4,2.8,,nähtusteta,,0.0,35.0,2019-04-03 6:00:00
Valga,-0.7,54,1027.0,-0.6,133,0.8,2.9,,nähtusteta,,0.0,35.0,2019-04-03 7:00:00
