Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,23.2,61,1022.9,1.1,150,2.1,4.8,,nähtusteta,,0.0,35.0,2018-08-01 0:00:00
Valga,21.8,65,1023.3,0.9,170,1.5,4.2,,nähtusteta,,0.0,35.0,2018-08-01 1:00:00
Valga,21.1,68,1023.7,0.8,162,1.6,2.9,,nähtusteta,,0.0,35.0,2018-08-01 2:00:00
Valga,20.4,72,1024.0,1.1,140,1.4,3.7,,nähtusteta,,0.0,35.0,2018-08-01 3:00:00
Valga,19.6,76,1024.0,0.7,129,1.3,2.8,,nähtusteta,,0.0,32.2,2018-08-01 4:00:00
Valga,18.3,82,1024.0,0.3,119,1.3,2.7,,nähtusteta,,0.0,34.2,2018-08-01 5:00:00
Valga,18.2,83,1024.4,0.4,160,1.1,2.8,,nähtusteta,,0.0,35.0,2018-08-01 6:00:00
Valga,19.2,79,1024.5,0.5,146,1.2,2.5,,nähtusteta,,0.0,29.6,2018-08-01 7:00:00
Valga,20.8,73,1024.5,0.5,148,1.8,3.4,,nähtusteta,,0.0,33.0,2018-08-01 8:00:00
Valga,22.7,65,1024.3,-0.1,150,1.8,3.6,,nähtusteta,,0.0,25.5,2018-08-01 9:00:00
Valga,24.2,54,1024.3,-0.2,155,2.3,4.2,,nähtusteta,,0.0,35.0,2018-08-01 10:00:00
Valga,24.7,51,1024.4,-0.1,158,2.5,5.3,,nähtusteta,,0.0,31.4,2018-08-01 11:00:00
Valga,26.2,49,1024.3,0.0,117,2.7,5.9,,nähtusteta,,0.0,35.0,2018-08-01 12:00:00
Valga,26.7,46,1024.1,-0.2,121,2.4,6.1,,nähtusteta,,0.0,35.0,2018-08-01 13:00:00
Valga,27.4,40,1023.7,-0.7,152,2.5,6.0,,nähtusteta,,0.0,35.0,2018-08-01 14:00:00
Valga,27.8,38,1023.3,-1.0,188,2.0,5.3,,nähtusteta,,0.0,35.0,2018-08-01 15:00:00
Valga,28.4,38,1023.0,-1.1,131,2.5,5.0,,nähtusteta,,0.0,35.0,2018-08-01 16:00:00
Valga,28.8,38,1022.7,-1.0,114,2.3,4.8,,nähtusteta,,0.0,35.0,2018-08-01 17:00:00
Valga,28.7,37,1022.5,-0.8,142,2.3,4.6,,nähtusteta,,0.0,35.0,2018-08-01 18:00:00
Valga,28.3,40,1022.2,-0.8,127,1.8,4.2,,nähtusteta,,0.0,35.0,2018-08-01 19:00:00
Valga,27.7,42,1022.3,-0.4,129,1.2,3.4,,nähtusteta,,0.0,35.0,2018-08-01 20:00:00
