Jaam,Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),timestamp
Valga,16.4,96,1020.1,0.4,42,1.1,2.0,,nõrk hoogvihm,,0.7,22.2,2018-09-01 0:00:00
Valga,16.3,97,1020.4,0.6,127,0.9,2.2,,vihm,,0.0,21.6,2018-09-01 1:00:00
Valga,16.3,96,1020.2,0.4,142,1.0,3.2,,vihm,,0.5,20.3,2018-09-01 2:00:00
Valga,16.0,98,1020.2,0.1,68,0.7,1.7,,nähtusteta,,0.0,11.0,2018-09-01 3:00:00
Valga,15.5,99,1020.4,0.0,160,0.8,1.4,,uduvine,,0.0,8.5,2018-09-01 4:00:00
Valga,15.0,100,1020.7,0.5,168,1.2,1.9,,uduvine,,0.0,4.8,2018-09-01 5:00:00
Valga,14.3,100,1020.9,0.7,154,0.8,2.2,,udu,,0.0,0.84,2018-09-01 6:00:00
Valga,14.4,100,1021.4,1.0,194,1.1,2.4,,udu,,0.0,3.7,2018-09-01 7:00:00
Valga,14.7,100,1021.8,1.1,213,1.5,2.3,,uduvine,,0.0,1.0,2018-09-01 8:00:00
Valga,15.1,98,1022.2,1.3,229,1.8,4.3,,udu,,0.0,5.2,2018-09-01 9:00:00
Valga,15.5,97,1022.6,1.2,214,1.6,3.7,,uduvine,,0.0,10.0,2018-09-01 10:00:00
Valga,15.9,95,1023.1,1.3,200,2.6,4.2,,nähtusteta,,0.0,14.8,2018-09-01 11:00:00
Valga,17.2,92,1023.4,1.2,169,1.8,4.7,,nähtusteta,,0.0,19.6,2018-09-01 12:00:00
Valga,19.0,82,1023.4,0.8,205,1.8,4.3,,nähtusteta,,0.0,24.2,2018-09-01 13:00:00
Valga,19.3,77,1023.6,0.5,171,0.9,2.7,,nähtusteta,,0.0,31.3,2018-09-01 14:00:00
Valga,21.5,69,1023.4,0.0,165,1.5,4.4,,vihm,,0.0,28.1,2018-09-01 15:00:00
Valga,21.5,67,1023.4,0.0,228,2.2,4.2,,nähtusteta,,0.0,35.0,2018-09-01 16:00:00
Valga,21.5,65,1023.6,0.0,226,2.2,5.1,,nähtusteta,,0.0,35.0,2018-09-01 17:00:00
Valga,21.7,62,1023.8,0.4,245,1.7,5.7,,nähtusteta,,0.0,35.0,2018-09-01 18:00:00
Valga,19.9,67,1023.9,0.5,208,1.4,4.3,,nähtusteta,,0.0,13.7,2018-09-01 19:00:00
Valga,17.6,87,1024.3,0.7,203,0.3,1.7,,nähtusteta,,0.0,35.0,2018-09-01 20:00:00
Valga,16.3,93,1024.6,0.8,281,0.8,1.3,,nähtusteta,,0.0,24.2,2018-09-01 21:00:00
Valga,15.8,96,1024.9,1.0,227,0.6,1.3,,nähtusteta,,0.0,16.9,2018-09-01 22:00:00
Valga,15.4,97,1025.2,0.9,142,0.3,1.6,,nähtusteta,,0.0,14.9,2018-09-01 23:00:00
Valga,14.7,98,1025.4,0.8,69,0.3,0.7,,nähtusteta,,0.0,14.6,2018-09-02 0:00:00
Valga,14.2,97,1025.6,0.7,244,0.6,1.0,,nähtusteta,,0.0,7.9,2018-09-02 1:00:00
Valga,13.3,99,1025.8,0.6,177,0.4,1.0,,uduvine,,0.0,7.4,2018-09-02 2:00:00
Valga,12.2,99,1025.9,0.5,232,0.5,1.2,,nähtusteta,,0.0,10.7,2018-09-02 3:00:00
Valga,11.3,99,1026.2,0.6,228,0.6,1.0,,uduvine,,0.0,13.0,2018-09-02 4:00:00
Valga,10.8,99,1026.6,0.8,222,0.6,1.0,,uduvine,,0.0,12.8,2018-09-02 5:00:00
