Grupp;"Ajatempel (UTC)";Hind
fi;1528632000;46,04
fi;1528635600;45,47
fi;1528639200;45,96
fi;1528642800;46,9
fi;1528646400;47,63
fi;1528650000;48,65
fi;1528653600;48,86
fi;1528657200;48,71
fi;1528660800;48,53
fi;1528664400;46,65
fi;1528668000;45,4
fi;1528671600;42,72
fi;1528675200;42,27
fi;1528678800;41,44
fi;1528682400;41,45
fi;1528686000;44,03
fi;1528689600;50,62
fi;1528693200;62
fi;1528696800;64,79
fi;1528700400;64,02
fi;1528704000;63,59
fi;1528707600;64,2
fi;1528711200;58,42
fi;1528714800;52,62
fi;1528718400;48,81
fi;1528722000;47,94
fi;1528725600;47,56
fi;1528729200;48,16
fi;1528732800;48,84
fi;1528736400;48,54
fi;1528740000;47,8
fi;1528743600;47,59
fi;1528747200;47,53
fi;1528750800;45,06
fi;1528754400;41,93
fi;1528758000;40,45
fi;1528761600;39,04
fi;1528765200;39,95
fi;1528768800;39,1
fi;1528772400;41,92
fi;1528776000;46,72
fi;1528779600;47,74
fi;1528783200;48,91
fi;1528786800;49,19
fi;1528790400;49,39
fi;1528794000;49,47
fi;1528797600;49,44
fi;1528801200;49,27
fi;1528804800;49,19
fi;1528808400;48,97
fi;1528812000;48,38
fi;1528815600;49,48
fi;1528819200;49,85
fi;1528822800;49,84
fi;1528826400;49,28
fi;1528830000;48,94
fi;1528833600;48,91
fi;1528837200;46,27
fi;1528840800;46,18
fi;1528844400;44,09
fi;1528848000;42,39
fi;1528851600;41,97
fi;1528855200;41,56
fi;1528858800;46,16
fi;1528862400;49,88
fi;1528866000;61,03
fi;1528869600;68,36
fi;1528873200;71,56
fi;1528876800;70,26
fi;1528880400;69,1
fi;1528884000;67,78
fi;1528887600;69,03
fi;1528891200;69,09
fi;1528894800;53,96
fi;1528898400;49,27
fi;1528902000;52,63
fi;1528905600;61,09
fi;1528909200;61,07
fi;1528912800;52,22
fi;1528916400;51,23
fi;1528920000;51,24
fi;1528923600;46,91
fi;1528927200;47,25
fi;1528930800;45,54
fi;1528934400;43,65
fi;1528938000;42,98
fi;1528941600;43,08
fi;1528945200;44,9
fi;1528948800;50,02
fi;1528952400;61
fi;1528956000;65,68
fi;1528959600;66,6
fi;1528963200;66,76
fi;1528966800;70,11
fi;1528970400;72,6
fi;1528974000;69,03
fi;1528977600;69,04
fi;1528981200;53,78
fi;1528984800;48,34
fi;1528988400;50,83
fi;1528992000;60,03
fi;1528995600;58,88
fi;1528999200;47,2
fi;1529002800;46,9
fi;1529006400;46,23
fi;1529010000;41,19
fi;1529013600;40,06
fi;1529017200;38,75
fi;1529020800;37,8
fi;1529024400;36,77
fi;1529028000;37,73
fi;1529031600;41,92
fi;1529035200;48,03
fi;1529038800;51,28
fi;1529042400;54,06
fi;1529046000;53,87
fi;1529049600;51,7
fi;1529053200;50,49
fi;1529056800;50,47
fi;1529060400;49,9
fi;1529064000;49,27
fi;1529067600;46,11
fi;1529071200;45,92
fi;1529074800;46,15
fi;1529078400;49,84
fi;1529082000;49,6
fi;1529085600;46,16
fi;1529089200;46,09
fi;1529092800;46,12
fi;1529096400;45,56
fi;1529100000;43,92
fi;1529103600;41,65
fi;1529107200;41,01
fi;1529110800;40,71
fi;1529114400;40,29
fi;1529118000;41,28
fi;1529121600;42,04
fi;1529125200;43,72
fi;1529128800;45,83
fi;1529132400;46,4
fi;1529136000;46,61
fi;1529139600;46,23
fi;1529143200;45,4
fi;1529146800;44,87
fi;1529150400;44,51
fi;1529154000;44,47
fi;1529157600;44,72
fi;1529161200;45,53
fi;1529164800;46,02
fi;1529168400;46,8
fi;1529172000;46,08
fi;1529175600;45,66
fi;1529179200;46,1
fi;1529182800;44,24
fi;1529186400;43,87
fi;1529190000;42,09
fi;1529193600;40,42
fi;1529197200;40,02
fi;1529200800;39,6
fi;1529204400;39,64
fi;1529208000;40,55
fi;1529211600;41,48
fi;1529215200;43,63
fi;1529218800;44,77
fi;1529222400;45,42
fi;1529226000;45,7
fi;1529229600;45,45
fi;1529233200;44,88
fi;1529236800;44,24
fi;1529240400;44,04
fi;1529244000;44,06
fi;1529247600;45,76
fi;1529251200;44,17
fi;1529254800;45,03
fi;1529258400;45,62
fi;1529262000;45,85
fi;1529265600;45,81
fi;1529269200;44,4
fi;1529272800;43,46
fi;1529276400;40,5
fi;1529280000;39,01
fi;1529283600;37,69
fi;1529287200;36,82
fi;1529290800;40,85
fi;1529294400;49,87
fi;1529298000;60,03
fi;1529301600;64,51
fi;1529305200;64,05
fi;1529308800;62,14
fi;1529312400;55,89
fi;1529316000;50,55
fi;1529319600;49,89
fi;1529323200;49,86
fi;1529326800;44,98
fi;1529330400;44,58
fi;1529334000;45,54
fi;1529337600;49,89
fi;1529341200;49,89
fi;1529344800;45,3
fi;1529348400;44,9
fi;1529352000;44,2
fi;1529355600;41,59
fi;1529359200;39,65
fi;1529362800;37,01
fi;1529366400;34,03
fi;1529370000;26,82
fi;1529373600;26,98
fi;1529377200;35,02
fi;1529380800;45,84
fi;1529384400;49,86
fi;1529388000;49,85
fi;1529391600;49,82
fi;1529395200;47,98
fi;1529398800;46,55
fi;1529402400;47,35
fi;1529406000;46,96
fi;1529409600;45,73
fi;1529413200;43,15
fi;1529416800;42,6
fi;1529420400;43,33
fi;1529424000;48,48
fi;1529427600;47,09
fi;1529431200;43,81
fi;1529434800;43,24
fi;1529438400;43,06
fi;1529442000;41,09
fi;1529445600;41,04
fi;1529449200;38,4
fi;1529452800;38,07
fi;1529456400;38,03
fi;1529460000;37,12
fi;1529463600;40,94
fi;1529467200;44,38
fi;1529470800;45,34
fi;1529474400;45,68
fi;1529478000;45,74
fi;1529481600;45,6
fi;1529485200;44,97
fi;1529488800;44,97
fi;1529492400;45,7
fi;1529496000;44,42
fi;1529499600;42,15
fi;1529503200;41,95
fi;1529506800;43,12
fi;1529510400;43,76
fi;1529514000;43,56
fi;1529517600;43,06
fi;1529521200;42,65
fi;1529524800;42,32
fi;1529528400;41,56
fi;1529532000;38,79
fi;1529535600;38
fi;1529539200;35,04
fi;1529542800;37,09
fi;1529546400;35,01
fi;1529550000;39,37
fi;1529553600;45,98
fi;1529557200;57,73
fi;1529560800;62,04
fi;1529564400;60,8
fi;1529568000;60,81
fi;1529571600;59,8
fi;1529575200;60,84
fi;1529578800;55,81
fi;1529582400;52,99
fi;1529586000;49,11
fi;1529589600;41,92
fi;1529593200;49,83
fi;1529596800;60,59
fi;1529600400;59,08
fi;1529604000;45,28
fi;1529607600;40,37
fi;1529611200;38,79
fi;1529614800;22,02
fi;1529618400;15,86
fi;1529622000;15,21
fi;1529625600;13,09
fi;1529629200;4,56
fi;1529632800;4,34
fi;1529636400;10,38
fi;1529640000;32,35
fi;1529643600;41,42
fi;1529647200;42,49
fi;1529650800;42,72
fi;1529654400;43,75
fi;1529658000;41,95
fi;1529661600;39,96
