Grupp;"Ajatempel (UTC)";Hind
fi;1548972000;51,46
fi;1548975600;51,31
fi;1548979200;50,47
fi;1548982800;50,03
fi;1548986400;50,1
fi;1548990000;50,72
fi;1548993600;52,56
fi;1548997200;59,1
fi;1549000800;63,61
fi;1549004400;64,91
fi;1549008000;66,64
fi;1549011600;64,98
fi;1549015200;56,53
fi;1549018800;56,05
fi;1549022400;55,64
fi;1549026000;61,32
fi;1549029600;60,9
fi;1549033200;63,66
fi;1549036800;65,98
fi;1549040400;64,96
fi;1549044000;55,08
fi;1549047600;54,18
fi;1549051200;53,99
fi;1549054800;52,71
fi;1549058400;50,92
fi;1549062000;50,04
fi;1549065600;48,67
fi;1549069200;48,1
fi;1549072800;48,05
fi;1549076400;48,5
fi;1549080000;49,07
fi;1549083600;49,21
fi;1549087200;49,68
fi;1549090800;51,47
fi;1549094400;53,28
fi;1549098000;54,1
fi;1549101600;53,87
fi;1549105200;53,46
fi;1549108800;52,14
fi;1549112400;50,97
fi;1549116000;51,05
fi;1549119600;52,19
fi;1549123200;54,06
fi;1549126800;54,98
fi;1549130400;53,28
fi;1549134000;51,66
fi;1549137600;49,9
fi;1549141200;49,46
fi;1549144800;48,04
fi;1549148400;48,5
fi;1549152000;47,55
fi;1549155600;47,1
fi;1549159200;46,74
fi;1549162800;47,12
fi;1549166400;47,39
fi;1549170000;47,93
fi;1549173600;48,34
fi;1549177200;48,89
fi;1549180800;49,86
fi;1549184400;50,54
fi;1549188000;51,11
fi;1549191600;50,73
fi;1549195200;50,43
fi;1549198800;50,28
fi;1549202400;50,58
fi;1549206000;51,61
fi;1549209600;53,43
fi;1549213200;55,32
fi;1549216800;55,14
fi;1549220400;53,38
fi;1549224000;51,94
fi;1549227600;51,04
fi;1549231200;49,46
fi;1549234800;50,18
fi;1549238400;50,05
fi;1549242000;49,82
fi;1549245600;50
fi;1549249200;50,56
fi;1549252800;52,13
fi;1549256400;53,65
fi;1549260000;60,67
fi;1549263600;62,38
fi;1549267200;61,09
fi;1549270800;60
fi;1549274400;54,96
fi;1549278000;54,23
fi;1549281600;53,8
fi;1549285200;56,35
fi;1549288800;58,08
fi;1549292400;61,25
fi;1549296000;62,27
fi;1549299600;62,06
fi;1549303200;52,96
fi;1549306800;52,18
fi;1549310400;51,66
fi;1549314000;50,59
fi;1549317600;49,09
fi;1549321200;47,74
