Grupp;"Ajatempel (UTC)";Hind
fi;1543615200;43,22
fi;1543618800;43,25
fi;1543622400;42,09
fi;1543626000;41,07
fi;1543629600;42,05
fi;1543633200;43,5
fi;1543636800;43,37
fi;1543640400;42,89
fi;1543644000;45,6
fi;1543647600;46,37
fi;1543651200;47,06
fi;1543654800;47,46
fi;1543658400;47,8
fi;1543662000;47,7
fi;1543665600;47,61
fi;1543669200;47,93
fi;1543672800;48,45
fi;1543676400;48,97
fi;1543680000;48,92
fi;1543683600;48,41
fi;1543687200;46,56
fi;1543690800;45,57
fi;1543694400;45,45
fi;1543698000;43,06
fi;1543701600;38,63
fi;1543705200;43,33
fi;1543708800;42,16
fi;1543712400;41,83
fi;1543716000;40,55
fi;1543719600;41,35
fi;1543723200;41,66
fi;1543726800;42,96
fi;1543730400;43,96
fi;1543734000;44,48
fi;1543737600;45,29
fi;1543741200;46,18
fi;1543744800;46,53
fi;1543748400;46,54
fi;1543752000;46,57
fi;1543755600;46,25
fi;1543759200;46,74
fi;1543762800;47,29
fi;1543766400;47,56
fi;1543770000;47,38
fi;1543773600;46,7
fi;1543777200;45,87
fi;1543780800;45,1
fi;1543784400;43,09
fi;1543788000;39,22
fi;1543791600;43,52
fi;1543795200;41,93
fi;1543798800;40,77
fi;1543802400;40,86
fi;1543806000;42,01
fi;1543809600;45,1
fi;1543813200;48
fi;1543816800;52,38
fi;1543820400;53,97
fi;1543824000;54,17
fi;1543827600;49,58
fi;1543831200;49,3
fi;1543834800;51,96
fi;1543838400;52,49
fi;1543842000;53,45
fi;1543845600;53,93
fi;1543849200;53,9
fi;1543852800;53,01
fi;1543856400;54,06
fi;1543860000;49,67
fi;1543863600;48,93
fi;1543867200;47,56
fi;1543870800;46,03
fi;1543874400;44,71
fi;1543878000;36,22
fi;1543881600;33,14
fi;1543885200;34,68
fi;1543888800;36,08
fi;1543892400;40,82
fi;1543896000;43,79
fi;1543899600;53,45
fi;1543903200;53,88
fi;1543906800;52,55
fi;1543910400;51,92
fi;1543914000;47,95
fi;1543917600;47,9
fi;1543921200;51,78
fi;1543924800;50,46
fi;1543928400;53,05
fi;1543932000;59,12
fi;1543935600;58,78
fi;1543939200;58,68
fi;1543942800;56,71
fi;1543946400;49,03
fi;1543950000;48,25
fi;1543953600;47,49
fi;1543957200;46,24
fi;1543960800;44,93
fi;1543964400;46,01
fi;1543968000;45,82
fi;1543971600;45,94
